Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;
Cook Islands [Western Pacific];2004;Male;106.0;null;4;
Gabon [Africa];2004;Both sexes;124.0;null;81.0;
Singapore [Western Pacific];2004;Both sexes;89.0;null;100.0;
Lao People's Democratic Republic [Western Pacific];2004;Both sexes;435.0;null;86.0;
Sweden [Europe];2004;Both sexes;107.0;null;117.0;
Lebanon [Eastern Mediterranean];2004;Both sexes;282.0;null;135.0;
Egypt [Eastern Mediterranean];2004;Male;218.0;null;;
Comoros [Africa];2004;Male;85.0;null;;
Equatorial Guinea [Africa];2004;Male;199.0;null;;
Brazil [Americas];2004;Both sexes;161.0;null;177.0;
North Macedonia [Europe];2004;Male;271.0;null;10.0;
Malawi [Africa];2004;Both sexes;99.0;null;67.0;
Saint Kitts and Nevis [Americas];2004;Female;30.0;null;348.0;
Barbados [Americas];2004;Female;31.0;null;490.0;
United Republic of Tanzania [Africa];2004;Both sexes;119.0;null;112.0;
Switzerland [Europe];2004;Both sexes;139.0;null;153.0;
Italy [Europe];2004;Both sexes;130.0;null;144.0;
Kyrgyzstan [Europe];2004;Female;122.0;null;195.0;
Chad [Africa];2004;Male;191.0;null;;
Tonga [Western Pacific];2004;Female;71.0;null;244.0;
Monaco [Europe];2004;Male;165.0;null;2;
Finland [Europe];2004;Male;384.0;null;1;
Finland [Europe];2004;Female;146.0;null;245.0;
Eswatini [Africa];2004;Both sexes;119.0;null;69.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Male;344.0;null;;
Russian Federation [Europe];2004;Male;740.0;null;3;
Slovenia [Europe];2004;Both sexes;215.0;null;157.0;
Bahrain [Eastern Mediterranean];2004;Both sexes;110.0;null;116.0;
Croatia [Europe];2004;Both sexes;194.0;null;165.0;
Syrian Arab Republic [Eastern Mediterranean];2004;Female;101.0;null;170.0;
Cuba [Americas];2004;Both sexes;150.0;null;108.0;
India [South-East Asia];2004;Both sexes;375.0;null;80.0;
Saint Kitts and Nevis [Americas];2004;Both sexes;164.0;null;179.0;
Maldives [South-East Asia];2004;Male;397.0;null;1;
Eritrea [Africa];2004;Both sexes;84.0;null;73.0;
Namibia [Africa];2004;Female;47.0;null;145.0;
Nepal [South-East Asia];2004;Female;252.0;null;259.0;
Germany [Europe];2004;Female;70.0;null;311.0;
Barbados [Americas];2004;Both sexes;54.0;null;261.0;
Burundi [Africa];2004;Female;77.0;null;185.0;
Guinea-Bissau [Africa];2004;Female;96.0;null;419.0;
Suriname [Americas];2004;Female;127.0;null;201.0;
Iraq [Eastern Mediterranean];2004;Female;622.0;null;382.0;
Luxembourg [Europe];2004;Female;116.0;null;294.0;
Malaysia [Western Pacific];2004;Both sexes;128.0;null;125.0;
Bhutan [South-East Asia];2004;Both sexes;328.0;null;79.0;
Sao Tome and Principe [Africa];2004;Female;113.0;null;174.0;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;179.0;null;179.0;
Guatemala [Americas];2004;Male;227.0;null;;
Nauru [Western Pacific];2004;Female;230.0;null;309.0;
Netherlands [Europe];2004;Both sexes;90.0;null;195.0;
Democratic People's Republic of Korea [South-East Asia];2004;Male;175.0;null;;
Republic of Moldova [Europe];2004;Female;130.0;null;281.0;
Philippines [Western Pacific];2004;Male;141.0;null;;
Qatar [Eastern Mediterranean];2004;Female;63.0;null;101.0;
Timor-Leste [South-East Asia];2004;Female;172.0;null;218.0;
Tunisia [Eastern Mediterranean];2004;Both sexes;177.0;null;62.0;
Turkey [Europe];2004;Both sexes;235.0;null;98.0;
Rwanda [Africa];2004;Male;191.0;null;;
Liberia [Africa];2004;Male;180.0;null;;
Uganda [Africa];2004;Both sexes;133.0;null;80.0;
North Macedonia [Europe];2004;Female;52.0;null;290.0;
Portugal [Europe];2004;Both sexes;154.0;null;144.0;
Burkina Faso [Africa];2004;Male;178.0;null;;
Austria [Europe];2004;Male;216.0;null;2;
United Republic of Tanzania [Africa];2004;Male;164.0;null;;
Denmark [Europe];2004;Male;169.0;null;4;
Panama [Americas];2004;Both sexes;114.0;null;104.0;
Sri Lanka [South-East Asia];2004;Male;525.0;null;;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Female;72.0;null;351.0;
Malaysia [Western Pacific];2004;Female;92.0;null;251.0;
Togo [Africa];2004;Both sexes;113.0;null;188.0;
Trinidad and Tobago [Americas];2004;Male;183.0;null;4;
Gambia [Africa];2004;Both sexes;110.0;null;55.0;
United Republic of Tanzania [Africa];2004;Female;76.0;null;210.0;
Niue [Western Pacific];2004;Both sexes;122.0;null;85.0;
Angola [Africa];2004;Male;361.0;null;;
Cameroon [Africa];2004;Both sexes;127.0;null;192.0;
Philippines [Western Pacific];2004;Female;87.0;null;290.0;
Sudan [Eastern Mediterranean];2004;Both sexes;206.0;null;178.0;
Republic of Moldova [Europe];2004;Male;378.0;null;7;
Russian Federation [Europe];2004;Both sexes;473.0;null;176.0;
Uzbekistan [Europe];2004;Female;87.0;null;148.0;
Bahamas [Americas];2004;Male;152.0;null;;
Central African Republic [Africa];2004;Male;195.0;null;;
Trinidad and Tobago [Americas];2004;Female;71.0;null;396.0;
Rwanda [Africa];2004;Both sexes;137.0;null;49.0;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Both sexes;97.0;null;182.0;
Philippines [Western Pacific];2004;Both sexes;114.0;null;148.0;
Turkmenistan [Europe];2004;Female;101.0;null;135.0;
Saint Vincent and the Grenadines [Americas];2004;Female;73.0;null;389.0;
Hungary [Europe];2004;Both sexes;232.0;null;166.0;
Democratic People's Republic of Korea [South-East Asia];2004;Female;193.0;null;153.0;
Netherlands [Europe];2004;Female;73.0;null;383.0;
