Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;
Lebanon [Eastern Mediterranean];2004;Male;314.0;null;;
Thailand [South-East Asia];2004;Both sexes;193.0;null;89.0;
Uzbekistan [Europe];2004;Both sexes;183.0;null;77.0;
Malawi [Africa];2004;Male;129.0;null;;
Cambodia [Western Pacific];2004;Female;175.0;null;342.0;
Mauritania [Africa];2004;Both sexes;117.0;null;167.0;
Cuba [Americas];2004;Female;125.0;null;211.0;
Kazakhstan [Europe];2004;Both sexes;299.0;null;165.0;
Japan [Western Pacific];2004;Female;69.0;null;178.0;
Republic of Korea [Western Pacific];2004;Male;128.0;null;1;
Guatemala [Americas];2004;Female;101.0;null;234.0;
Tuvalu [Western Pacific];2004;Male;106.0;null;12.0;
Papua New Guinea [Western Pacific];2004;Female;247.0;null;132.0;
Brazil [Americas];2004;Male;239.0;null;;
Comoros [Africa];2004;Female;63.0;null;140.0;
New Zealand [Western Pacific];2004;Male;230.0;null;1;
Oman [Eastern Mediterranean];2004;Female;78.0;null;171.0;
Morocco [Eastern Mediterranean];2004;Female;207.0;null;170.0;
Panama [Americas];2004;Female;68.0;null;207.0;
Guinea [Africa];2004;Female;107.0;null;195.0;
Algeria [Africa];2004;Both sexes;74.0;null;109.0;
Kenya [Africa];2004;Male;146.0;null;;
Cambodia [Western Pacific];2004;Both sexes;216.0;null;196.0;
Qatar [Eastern Mediterranean];2004;Male;124.0;null;;
Indonesia [South-East Asia];2004;Female;554.0;null;327.0;
Singapore [Western Pacific];2004;Male;109.0;null;;
Czechia [Europe];2004;Female;161.0;null;263.0;
Vanuatu [Western Pacific];2004;Female;82.0;null;263.0;
Tajikistan [Europe];2004;Male;149.0;null;;
Bahrain [Eastern Mediterranean];2004;Female;89.0;null;292.0;
Bulgaria [Europe];2004;Male;328.0;null;2;
Estonia [Europe];2004;Both sexes;287.0;null;146.0;
Somalia [Eastern Mediterranean];2004;Female;429.0;null;261.0;
Latvia [Europe];2004;Male;502.0;null;1;
Costa Rica [Americas];2004;Both sexes;123.0;null;96.0;
Malta [Europe];2004;Both sexes;144.0;null;161.0;
Colombia [Americas];2004;Female;67.0;null;167.0;
Jordan [Eastern Mediterranean];2004;Male;210.0;null;1;
Latvia [Europe];2004;Female;180.0;null;304.0;
Sierra Leone [Africa];2004;Both sexes;218.0;null;261.0;
Armenia [Europe];2004;Both sexes;157.0;null;310.0;
Haiti [Americas];2004;Female;327.0;null;29.0;
United States of America [Americas];2004;Both sexes;114.0;null;171.0;
Malta [Europe];2004;Male;182.0;null;4;
Bulgaria [Europe];2004;Both sexes;199.0;null;128.0;
Lesotho [Africa];2004;Both sexes;66.0;null;45.0;
Dominica [Americas];2004;Male;124.0;null;;
Timor-Leste [South-East Asia];2004;Male;308.0;null;;
Italy [Europe];2004;Male;170.0;null;7;
Romania [Europe];2004;Both sexes;300.0;null;135.0;
Solomon Islands [Western Pacific];2004;Female;89.0;null;142.0;
Chile [Americas];2004;Male;159.0;null;;
Gabon [Africa];2004;Male;149.0;null;;
Saint Vincent and the Grenadines [Americas];2004;Male;327.0;null;4;
Papua New Guinea [Western Pacific];2004;Male;261.0;null;;
Albania [Europe];2004;Male;417.0;null;;
Afghanistan [Eastern Mediterranean];2004;Female;279.0;null;506.0;
Somalia [Eastern Mediterranean];2004;Both sexes;417.0;null;135.0;
Belize [Americas];2004;Female;139.0;null;92.0;
Finland [Europe];2004;Both sexes;266.0;null;126.0;
Kazakhstan [Europe];2004;Male;428.0;null;;
Norway [Europe];2004;Male;202.0;null;1;
Brunei Darussalam [Western Pacific];2004;Female;77.0;null;226.0;
Cook Islands [Western Pacific];2004;Both sexes;114.0;null;63.0;
Argentina [Americas];2004;Male;111.0;null;2;
Georgia [Europe];2004;Female;37.0;null;246.0;
Sao Tome and Principe [Africa];2004;Both sexes;150.0;null;95.0;
North Macedonia [Europe];2004;Both sexes;163.0;null;153.0;
Zambia [Africa];2004;Both sexes;117.0;null;64.0;
Myanmar [South-East Asia];2004;Male;262.0;null;;
Honduras [Americas];2004;Male;148.0;null;;
Namibia [Africa];2004;Male;101.0;null;;
Turkmenistan [Europe];2004;Both sexes;210.0;null;72.0;
Thailand [South-East Asia];2004;Male;207.0;null;;
Saint Vincent and the Grenadines [Americas];2004;Both sexes;201.0;null;199.0;
Burkina Faso [Africa];2004;Female;110.0;null;450.0;
San Marino [Europe];2004;Male;98.0;null;;
Burundi [Africa];2004;Both sexes;148.0;null;105.0;
Germany [Europe];2004;Male;135.0;null;;
Nicaragua [Americas];2004;Male;195.0;null;;
Oman [Eastern Mediterranean];2004;Both sexes;168.0;null;66.0;
Timor-Leste [South-East Asia];2004;Both sexes;241.0;null;111.0;
Antigua and Barbuda [Americas];2004;Male;139.0;null;;
Belgium [Europe];2004;Male;196.0;null;2;
New Zealand [Western Pacific];2004;Female;109.0;null;387.0;
Greece [Europe];2004;Both sexes;136.0;null;142.0;
Djibouti [Eastern Mediterranean];2004;Both sexes;184.0;null;87.0;
Poland [Europe];2004;Both sexes;273.0;null;138.0;
Vanuatu [Western Pacific];2004;Male;78.0;null;;
