Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;
Botswana [Africa];2004;Both sexes;103.0;null;126.0;137.0;
Portugal [Europe];2004;Male;229.0;null;4;666.0;
Nauru [Western Pacific];2004;Female;230.0;null;309.0;43.0;
Brunei Darussalam [Western Pacific];2004;Male;143.0;null;;173.0;
Mauritania [Africa];2004;Male;142.0;null;;18.0;
South Africa [Africa];2004;Male;141.0;null;;467.0;
Ecuador [Americas];2004;Female;105.0;null;168.0;212.0;
Eswatini [Africa];2004;Both sexes;119.0;null;69.0;162.0;
Liberia [Africa];2004;Both sexes;133.0;null;158.0;112.0;
Portugal [Europe];2004;Both sexes;154.0;null;144.0;413.0;
Uruguay [Americas];2004;Both sexes;88.0;null;198.0;607.0;
Kyrgyzstan [Europe];2004;Female;122.0;null;195.0;50.0;
Hungary [Europe];2004;Female;159.0;null;302.0;334.0;
Japan [Western Pacific];2004;Female;69.0;null;178.0;12.0;
Colombia [Americas];2004;Both sexes;155.0;null;89.0;799.0;
El Salvador [Americas];2004;Both sexes;152.0;null;54.0;771.0;
France [Europe];2004;Male;203.0;null;5;836.0;
Belize [Americas];2004;Male;363.0;null;4;966.0;
Tuvalu [Western Pacific];2004;Both sexes;125.0;null;189.0;187.0;
Georgia [Europe];2004;Both sexes;90.0;null;134.0;533.0;
Chile [Americas];2004;Female;51.0;null;166.0;173.0;
Niue [Western Pacific];2004;Both sexes;122.0;null;85.0;721.0;
Bahrain [Eastern Mediterranean];2004;Male;124.0;null;;284.0;
Saint Lucia [Americas];2004;Male;113.0;null;4;1070.0;
Lebanon [Eastern Mediterranean];2004;Male;314.0;null;;180.0;
Saint Kitts and Nevis [Americas];2004;Female;30.0;null;348.0;169.0;
Malawi [Africa];2004;Male;129.0;null;;99.0;
Hungary [Europe];2004;Both sexes;232.0;null;166.0;1242.0;
Saint Vincent and the Grenadines [Americas];2004;Both sexes;201.0;null;199.0;572.0;
Slovakia [Europe];2004;Male;455.0;null;3;1316.0;
Bosnia and Herzegovina [Europe];2004;Female;52.0;null;235.0;172.0;
C\u00f4te d'Ivoire [Africa];2004;Both sexes;213.0;null;208.0;74.0;
Trinidad and Tobago [Americas];2004;Female;71.0;null;396.0;104.0;
Belize [Americas];2004;Both sexes;252.0;null;47.0;571.0;
Brazil [Americas];2004;Male;239.0;null;;1090.0;
Lithuania [Europe];2004;Male;553.0;null;1;1803.0;
Jamaica [Americas];2004;Male;131.0;null;2;380.0;
Jordan [Eastern Mediterranean];2004;Both sexes;162.0;null;191.0;35.0;
Uzbekistan [Europe];2004;Both sexes;183.0;null;77.0;153.0;
Kenya [Africa];2004;Male;146.0;null;;199.0;
Qatar [Eastern Mediterranean];2004;Male;124.0;null;;198.0;
Spain [Europe];2004;Male;160.0;null;2;180.0;
Singapore [Western Pacific];2004;Male;109.0;null;;148.0;
Yemen [Eastern Mediterranean];2004;Both sexes;524.0;null;184.0;25.0;
Tajikistan [Europe];2004;Male;149.0;null;;341.0;
Equatorial Guinea [Africa];2004;Female;118.0;null;214.0;18.0;
Uruguay [Americas];2004;Male;124.0;null;1;1043.0;
Netherlands [Europe];2004;Female;73.0;null;383.0;134.0;
Viet Nam [Western Pacific];2004;Both sexes;196.0;null;72.0;285.0;
Andorra [Europe];2004;Male;150.0;null;2;668.0;
Dominica [Americas];2004;Both sexes;72.0;null;286.0;586.0;
Panama [Americas];2004;Both sexes;114.0;null;104.0;456.0;
Timor-Leste [South-East Asia];2004;Female;172.0;null;218.0;33.0;
Guinea [Africa];2004;Female;107.0;null;195.0;9;
Maldives [South-East Asia];2004;Both sexes;359.0;null;89.0;316.0;
Switzerland [Europe];2004;Female;84.0;null;291.0;161.0;
Peru [Americas];2004;Both sexes;136.0;null;130.0;798.0;
Argentina [Americas];2004;Male;111.0;null;2;891.0;
North Macedonia [Europe];2004;Both sexes;163.0;null;153.0;316.0;
Madagascar [Africa];2004;Both sexes;104.0;null;86.0;60.0;
Cook Islands [Western Pacific];2004;Male;106.0;null;4;418.0;
Dominica [Americas];2004;Male;124.0;null;;970.0;
Timor-Leste [South-East Asia];2004;Male;308.0;null;;271.0;
Papua New Guinea [Western Pacific];2004;Both sexes;253.0;null;65.0;263.0;
Poland [Europe];2004;Female;120.0;null;256.0;160.0;
Mauritius [Africa];2004;Female;23.0;null;248.0;26.0;
Maldives [South-East Asia];2004;Male;397.0;null;1;545.0;
Venezuela (Bolivarian Republic of) [Americas];2004;Female;97.0;null;226.0;172.0;
South Africa [Africa];2004;Both sexes;104.0;null;156.0;287.0;
Democratic Republic of the Congo [Africa];2004;Both sexes;222.0;null;64.0;81.0;
Chile [Americas];2004;Male;159.0;null;;918.0;
Gabon [Africa];2004;Male;149.0;null;;341.0;
Latvia [Europe];2004;Both sexes;337.0;null;169.0;917.0;
Lao People's Democratic Republic [Western Pacific];2004;Female;439.0;null;165.0;32.0;
Portugal [Europe];2004;Female;79.0;null;271.0;160.0;
Eswatini [Africa];2004;Female;96.0;null;123.0;35.0;
Papua New Guinea [Western Pacific];2004;Male;261.0;null;;506.0;
Thailand [South-East Asia];2004;Both sexes;193.0;null;89.0;656.0;
Albania [Europe];2004;Male;417.0;null;;378.0;
Slovakia [Europe];2004;Both sexes;273.0;null;134.0;726.0;
Jamaica [Americas];2004;Female;76.0;null;337.0;50.0;
Libya [Eastern Mediterranean];2004;Both sexes;176.0;null;98.0;5;
Nicaragua [Americas];2004;Both sexes;130.0;null;112.0;538.0;
C\u00f4te d'Ivoire [Africa];2004;Female;124.0;null;438.0;18.0;
Paraguay [Americas];2004;Both sexes;120.0;null;126.0;428.0;
Yemen [Eastern Mediterranean];2004;Female;435.0;null;362.0;1;
Qatar [Eastern Mediterranean];2004;Female;63.0;null;101.0;0;
Norway [Europe];2004;Female;111.0;null;301.0;425.0;
Mexico [Americas];2004;Male;200.0;null;2;562.0;
Madagascar [Africa];2004;Female;86.0;null;166.0;15.0;
Kazakhstan [Europe];2004;Male;428.0;null;;1284.0;
Latvia [Europe];2004;Female;180.0;null;304.0;251.0;
Chad [Africa];2004;Both sexes;149.0;null;111.0;129.0;
Liberia [Africa];2004;Female;87.0;null;298.0;25.0;
Canada [Americas];2004;Male;111.0;null;2;872.0;
Russian Federation [Europe];2004;Both sexes;473.0;null;176.0;1277.0;
Myanmar [South-East Asia];2004;Male;262.0;null;;240.0;
Honduras [Americas];2004;Male;148.0;null;;998.0;
Ghana [Africa];2004;Male;108.0;null;2;219.0;
Comoros [Africa];2004;Both sexes;74.0;null;73.0;17.0;
Namibia [Africa];2004;Male;101.0;null;;236.0;
Austria [Europe];2004;Male;216.0;null;2;681.0;
Thailand [South-East Asia];2004;Male;207.0;null;;1224.0;
Turkmenistan [Europe];2004;Both sexes;210.0;null;72.0;186.0;
Republic of Moldova [Europe];2004;Female;130.0;null;281.0;298.0;
San Marino [Europe];2004;Male;98.0;null;;535.0;
Germany [Europe];2004;Male;135.0;null;;846.0;
Nicaragua [Americas];2004;Male;195.0;null;;951.0;
Spain [Europe];2004;Both sexes;109.0;null;122.0;106.0;
Australia [Western Pacific];2004;Female;107.0;null;337.0;227.0;
Gambia [Africa];2004;Female;89.0;null;108.0;19.0;
Estonia [Europe];2004;Female;147.0;null;257.0;290.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Both sexes;300.0;null;85.0;59.0;
Antigua and Barbuda [Americas];2004;Male;139.0;null;;880.0;
Russian Federation [Europe];2004;Male;740.0;null;3;2219.0;
Burkina Faso [Africa];2004;Both sexes;143.0;null;248.0;144.0;
Mongolia [Western Pacific];2004;Both sexes;341.0;null;48.0;413.0;
Saint Vincent and the Grenadines [Americas];2004;Male;327.0;null;4;984.0;
Croatia [Europe];2004;Female;125.0;null;308.0;198.0;
Nepal [South-East Asia];2004;Female;252.0;null;259.0;64.0;
Vanuatu [Western Pacific];2004;Male;78.0;null;;253.0;
Lebanon [Eastern Mediterranean];2004;Female;253.0;null;257.0;4;
Cabo Verde [Africa];2004;Male;90.0;null;;214.0;
Slovenia [Europe];2004;Both sexes;215.0;null;157.0;398.0;
Oman [Eastern Mediterranean];2004;Male;232.0;null;;61.0;
Solomon Islands [Western Pacific];2004;Female;89.0;null;142.0;7;
Guinea-Bissau [Africa];2004;Male;159.0;null;;158.0;
Grenada [Americas];2004;Male;195.0;null;3;951.0;
Ukraine [Europe];2004;Female;139.0;null;298.0;124.0;
Republic of Korea [Western Pacific];2004;Male;128.0;null;1;1779.0;
Senegal [Africa];2004;Both sexes;117.0;null;112.0;48.0;
Bulgaria [Europe];2004;Male;328.0;null;2;597.0;
Papua New Guinea [Western Pacific];2004;Female;247.0;null;132.0;17.0;
Syrian Arab Republic [Eastern Mediterranean];2004;Male;149.0;null;;104.0;
Gabon [Africa];2004;Female;99.0;null;159.0;37.0;
Ukraine [Europe];2004;Both sexes;326.0;null;166.0;687.0;
Bahamas [Americas];2004;Both sexes;129.0;null;219.0;702.0;
Libya [Eastern Mediterranean];2004;Male;218.0;null;;9;
Afghanistan [Eastern Mediterranean];2004;Male;545.0;null;;54.0;
Burkina Faso [Africa];2004;Female;110.0;null;450.0;31.0;
Slovenia [Europe];2004;Female;111.0;null;301.0;153.0;
Italy [Europe];2004;Both sexes;130.0;null;144.0;80.0;
Dominica [Americas];2004;Female;21.0;null;556.0;213.0;
Vanuatu [Western Pacific];2004;Both sexes;80.0;null;128.0;131.0;
India [South-East Asia];2004;Female;315.0;null;162.0;55.0;
Brazil [Americas];2004;Both sexes;161.0;null;177.0;627.0;
Samoa [Western Pacific];2004;Female;65.0;null;300.0;0;
Chile [Americas];2004;Both sexes;104.0;null;87.0;543.0;
Libya [Eastern Mediterranean];2004;Female;130.0;null;214.0;0;
Syrian Arab Republic [Eastern Mediterranean];2004;Both sexes;125.0;null;87.0;53.0;
Malawi [Africa];2004;Both sexes;99.0;null;67.0;56.0;
Togo [Africa];2004;Male;139.0;null;;92.0;
Nauru [Western Pacific];2004;Male;137.0;null;;460.0;
Lesotho [Africa];2004;Male;86.0;null;;196.0;
Guinea-Bissau [Africa];2004;Both sexes;127.0;null;221.0;88.0;
Monaco [Europe];2004;Female;87.0;null;252.0;169.0;
Sao Tome and Principe [Africa];2004;Both sexes;150.0;null;95.0;174.0;
Cyprus [Europe];2004;Both sexes;67.0;null;120.0;200.0;
Sweden [Europe];2004;Male;143.0;null;2;1115.0;
Kazakhstan [Europe];2004;Female;174.0;null;294.0;206.0;
Bahrain [Eastern Mediterranean];2004;Both sexes;110.0;null;116.0;169.0;
Seychelles [Africa];2004;Female;36.0;null;197.0;28.0;
Afghanistan [Eastern Mediterranean];2004;Female;279.0;null;506.0;3;
Bolivia (Plurinational State of) [Americas];2004;Male;230.0;null;;996.0;
Armenia [Europe];2004;Female;81.0;null;552.0;35.0;
Sweden [Europe];2004;Both sexes;107.0;null;117.0;766.0;
Grenada [Americas];2004;Both sexes;138.0;null;225.0;534.0;
Japan [Western Pacific];2004;Both sexes;107.0;null;90.0;118.0;
Slovenia [Europe];2004;Male;320.0;null;;636.0;
Kuwait [Eastern Mediterranean];2004;Both sexes;120.0;null;63.0;6;
Namibia [Africa];2004;Female;47.0;null;145.0;26.0;
Jordan [Eastern Mediterranean];2004;Male;210.0;null;1;66.0;
Nepal [South-East Asia];2004;Male;311.0;null;;513.0;
Myanmar [South-East Asia];2004;Both sexes;267.0;null;92.0;122.0;
Armenia [Europe];2004;Male;237.0;null;;299.0;
Sao Tome and Principe [Africa];2004;Female;113.0;null;174.0;43.0;
Hungary [Europe];2004;Male;310.0;null;;2146.0;
Mongolia [Western Pacific];2004;Male;547.0;null;;795.0;
Bosnia and Herzegovina [Europe];2004;Male;218.0;null;3;741.0;
Yemen [Eastern Mediterranean];2004;Male;611.0;null;;50.0;
Poland [Europe];2004;Male;425.0;null;2;756.0;
Czechia [Europe];2004;Both sexes;236.0;null;141.0;415.0;
Austria [Europe];2004;Female;85.0;null;259.0;163.0;
United Arab Emirates [Eastern Mediterranean];2004;Both sexes;129.0;null;35.0;67.0;
Nigeria [Africa];2004;Both sexes;143.0;null;258.0;137.0;
Lesotho [Africa];2004;Both sexes;66.0;null;45.0;97.0;
C\u00f4te d'Ivoire [Africa];2004;Male;298.0;null;;125.0;
Georgia [Europe];2004;Male;144.0;null;;1066.0;
Marshall Islands [Western Pacific];2004;Male;106.0;null;14.0;9;
Azerbaijan [Europe];2004;Female;45.0;null;284.0;74.0;
Bahrain [Eastern Mediterranean];2004;Female;89.0;null;292.0;0;
Saudi Arabia [Eastern Mediterranean];2004;Female;190.0;null;244.0;1;
Micronesia (Federated States of) [Western Pacific];2004;Both sexes;70.0;null;83.0;230.0;
Sweden [Europe];2004;Female;69.0;null;230.0;402.0;
Azerbaijan [Europe];2004;Both sexes;86.0;null;151.0;275.0;
Mozambique [Africa];2004;Male;148.0;null;;107.0;
Poland [Europe];2004;Both sexes;273.0;null;138.0;458.0;
Eritrea [Africa];2004;Female;62.0;null;127.0;12.0;
Pakistan [Eastern Mediterranean];2004;Both sexes;283.0;null;138.0;76.0;
Tajikistan [Europe];2004;Female;70.0;null;142.0;41.0;
Vanuatu [Western Pacific];2004;Female;82.0;null;263.0;8;
Venezuela (Bolivarian Republic of) [Americas];2004;Both sexes;156.0;null;116.0;572.0;
Pakistan [Eastern Mediterranean];2004;Female;290.0;null;280.0;16.0;
Tonga [Western Pacific];2004;Male;54.0;null;3;256.0;
Greece [Europe];2004;Female;62.0;null;272.0;140.0;
Greece [Europe];2004;Both sexes;136.0;null;142.0;365.0;
Djibouti [Eastern Mediterranean];2004;Female;86.0;null;169.0;10.0;
Saint Vincent and the Grenadines [Americas];2004;Female;73.0;null;389.0;155.0;
Canada [Americas];2004;Female;58.0;null;335.0;312.0;
Luxembourg [Europe];2004;Both sexes;183.0;null;152.0;485.0;
Eritrea [Africa];2004;Male;107.0;null;;83.0;
Estonia [Europe];2004;Both sexes;287.0;null;146.0;1004.0;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Male;122.0;null;1;1061.0;
Panama [Americas];2004;Female;68.0;null;207.0;137.0;
Kyrgyzstan [Europe];2004;Both sexes;316.0;null;104.0;217.0;
Iraq [Eastern Mediterranean];2004;Female;622.0;null;382.0;1;
Cook Islands [Western Pacific];2004;Female;123.0;null;126.0;13.0;
Lao People's Democratic Republic [Western Pacific];2004;Male;432.0;null;;1119.0;
Botswana [Africa];2004;Male;128.0;null;;246.0;
Bulgaria [Europe];2004;Female;68.0;null;241.0;135.0;
Cabo Verde [Africa];2004;Both sexes;79.0;null;140.0;113.0;
Mauritius [Africa];2004;Male;101.0;null;1;272.0;
Guyana [Americas];2004;Both sexes;184.0;null;190.0;437.0;
Trinidad and Tobago [Americas];2004;Male;183.0;null;4;599.0;
Niger [Africa];2004;Female;109.0;null;373.0;10.0;
Ireland [Europe];2004;Both sexes;120.0;null;182.0;470.0;
Finland [Europe];2004;Female;146.0;null;245.0;218.0;
Senegal [Africa];2004;Female;93.0;null;221.0;13.0;
Antigua and Barbuda [Americas];2004;Both sexes;94.0;null;283.0;500.0;
Latvia [Europe];2004;Male;502.0;null;1;1604.0;
Congo [Africa];2004;Male;129.0;null;;174.0;
Haiti [Americas];2004;Both sexes;281.0;null;15.0;742.0;
Benin [Africa];2004;Female;90.0;null;385.0;15.0;
Sri Lanka [South-East Asia];2004;Female;798.0;null;250.0;63.0;
Turkmenistan [Europe];2004;Female;101.0;null;135.0;65.0;
Tonga [Western Pacific];2004;Female;71.0;null;244.0;8;
Niue [Western Pacific];2004;Male;106.0;null;5;1362.0;
Spain [Europe];2004;Female;55.0;null;237.0;29.0;
