Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;
Saint Lucia [Americas];2004;Both sexes;85.0;null;151.0;616.0;
Zimbabwe [Africa];2004;Male;197.0;null;;357.0;
Egypt [Eastern Mediterranean];2004;Both sexes;174.0;null;128.0;37.0;
Georgia [Europe];2004;Female;37.0;null;246.0;35.0;
Cyprus [Europe];2004;Male;80.0;null;;410.0;
Belgium [Europe];2004;Both sexes;148.0;null;200.0;265.0;
Egypt [Eastern Mediterranean];2004;Female;130.0;null;251.0;1;
Democratic People's Republic of Korea [South-East Asia];2004;Both sexes;210.0;null;79.0;336.0;
Cameroon [Africa];2004;Male;153.0;null;;224.0;
Sudan [Eastern Mediterranean];2004;Female;141.0;null;347.0;16.0;
Argentina [Americas];2004;Both sexes;82.0;null;169.0;550.0;
Micronesia (Federated States of) [Western Pacific];2004;Female;68.0;null;162.0;13.0;
Algeria [Africa];2004;Male;76.0;null;;42.0;
Uganda [Africa];2004;Female;88.0;null;149.0;49.0;
Democratic Republic of the Congo [Africa];2004;Male;85.0;null;;144.0;
Tuvalu [Western Pacific];2004;Female;144.0;null;375.0;10.0;
Slovakia [Europe];2004;Female;95.0;null;247.0;129.0;
Gambia [Africa];2004;Both sexes;110.0;null;55.0;82.0;
Seychelles [Africa];2004;Male;110.0;null;26.0;383.0;
Bhutan [South-East Asia];2004;Male;362.0;null;;228.0;
Bhutan [South-East Asia];2004;Female;289.0;null;166.0;27.0;
Fiji [Western Pacific];2004;Male;80.0;null;;553.0;
Democratic People's Republic of Korea [South-East Asia];2004;Female;193.0;null;153.0;21.0;
Sudan [Eastern Mediterranean];2004;Male;269.0;null;;104.0;
Ghana [Africa];2004;Both sexes;103.0;null;155.0;127.0;
Venezuela (Bolivarian Republic of) [Americas];2004;Male;213.0;null;1;970.0;
Equatorial Guinea [Africa];2004;Both sexes;158.0;null;113.0;73.0;
Malta [Europe];2004;Both sexes;144.0;null;161.0;252.0;
Comoros [Africa];2004;Female;63.0;null;140.0;6;
Palau [Western Pacific];2004;Female;115.0;null;270.0;0;
Zambia [Africa];2004;Both sexes;117.0;null;64.0;114.0;
Haiti [Americas];2004;Male;234.0;null;2;1289.0;
Sierra Leone [Africa];2004;Male;316.0;null;;292.0;
Iraq [Eastern Mediterranean];2004;Both sexes;1002.0;null;192.0;18.0;
Mongolia [Western Pacific];2004;Female;135.0;null;93.0;33.0;
Zimbabwe [Africa];2004;Both sexes;141.0;null;80.0;199.0;
Samoa [Western Pacific];2004;Male;86.0;null;;5;
Sao Tome and Principe [Africa];2004;Male;191.0;null;2;312.0;
Namibia [Africa];2004;Both sexes;73.0;null;81.0;129.0;
Bangladesh [South-East Asia];2004;Female;310.0;null;169.0;12.0;
Nigeria [Africa];2004;Female;107.0;null;497.0;11.0;
Monaco [Europe];2004;Male;165.0;null;2;712.0;
Burundi [Africa];2004;Female;77.0;null;185.0;42.0;
Marshall Islands [Western Pacific];2004;Both sexes;122.0;null;189.0;4;
Denmark [Europe];2004;Female;98.0;null;393.0;202.0;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Both sexes;97.0;null;182.0;663.0;
Iceland [Europe];2004;Female;92.0;null;295.0;116.0;
Sudan [Eastern Mediterranean];2004;Both sexes;206.0;null;178.0;60.0;
Kyrgyzstan [Europe];2004;Male;513.0;null;;389.0;
Brunei Darussalam [Western Pacific];2004;Female;77.0;null;226.0;18.0;
Morocco [Eastern Mediterranean];2004;Male;233.0;null;;133.0;
China [Western Pacific];2004;Female;244.0;null;138.0;32.0;
Russian Federation [Europe];2004;Female;216.0;null;312.0;369.0;
Uzbekistan [Europe];2004;Female;87.0;null;148.0;32.0;
Lithuania [Europe];2004;Female;138.0;null;278.0;280.0;
Ireland [Europe];2004;Male;164.0;null;;746.0;
Suriname [Americas];2004;Male;207.0;null;12.0;747.0;
New Zealand [Western Pacific];2004;Both sexes;170.0;null;200.0;284.0;
Benin [Africa];2004;Male;130.0;null;;99.0;
Togo [Africa];2004;Both sexes;113.0;null;188.0;52.0;
Barbados [Americas];2004;Both sexes;54.0;null;261.0;482.0;
Mali [Africa];2004;Both sexes;143.0;null;133.0;32.0;
Ecuador [Americas];2004;Both sexes;192.0;null;85.0;687.0;
Samoa [Western Pacific];2004;Both sexes;76.0;null;147.0;3;
Suriname [Americas];2004;Both sexes;168.0;null;110.0;439.0;
Guinea [Africa];2004;Both sexes;140.0;null;102.0;24.0;
Paraguay [Americas];2004;Male;139.0;null;;723.0;
Congo [Africa];2004;Both sexes;99.0;null;119.0;97.0;
Malaysia [Western Pacific];2004;Female;92.0;null;251.0;52.0;
Sierra Leone [Africa];2004;Female;125.0;null;493.0;35.0;
Rwanda [Africa];2004;Female;89.0;null;89.0;37.0;
Bhutan [South-East Asia];2004;Both sexes;328.0;null;79.0;134.0;
Malaysia [Western Pacific];2004;Both sexes;128.0;null;125.0;274.0;
Cameroon [Africa];2004;Female;100.0;null;368.0;27.0;
Singapore [Western Pacific];2004;Both sexes;89.0;null;100.0;87.0;
Egypt [Eastern Mediterranean];2004;Male;218.0;null;;74.0;
Comoros [Africa];2004;Male;85.0;null;;28.0;
Netherlands [Europe];2004;Both sexes;90.0;null;195.0;499.0;
Algeria [Africa];2004;Both sexes;74.0;null;109.0;25.0;
Equatorial Guinea [Africa];2004;Male;199.0;null;;129.0;
Nauru [Western Pacific];2004;Both sexes;187.0;null;155.0;248.0;
Romania [Europe];2004;Female;115.0;null;253.0;198.0;
Zambia [Africa];2004;Female;81.0;null;117.0;25.0;
Croatia [Europe];2004;Male;261.0;null;5;844.0;
Angola [Africa];2004;Female;154.0;null;410.0;28.0;
Solomon Islands [Western Pacific];2004;Both sexes;83.0;null;70.0;125.0;
New Zealand [Western Pacific];2004;Female;109.0;null;387.0;205.0;
Chad [Africa];2004;Male;191.0;null;;232.0;
Czechia [Europe];2004;Male;309.0;null;2;716.0;
Monaco [Europe];2004;Both sexes;126.0;null;131.0;442.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Male;344.0;null;;115.0;
Uganda [Africa];2004;Both sexes;133.0;null;80.0;246.0;
India [South-East Asia];2004;Both sexes;375.0;null;80.0;278.0;
Jamaica [Americas];2004;Both sexes;103.0;null;173.0;211.0;
Philippines [Western Pacific];2004;Female;87.0;null;290.0;114.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Female;255.0;null;167.0;2;
Mozambique [Africa];2004;Both sexes;111.0;null;17.0;58.0;
Haiti [Americas];2004;Female;327.0;null;29.0;224.0;
Algeria [Africa];2004;Female;72.0;null;212.0;7;
Fiji [Western Pacific];2004;Female;60.0;null;273.0;16.0;
Belgium [Europe];2004;Female;99.0;null;388.0;155.0;
France [Europe];2004;Female;116.0;null;346.0;200.0;
Lesotho [Africa];2004;Female;50.0;null;75.0;22.0;
Turkey [Europe];2004;Both sexes;235.0;null;98.0;158.0;
Trinidad and Tobago [Americas];2004;Both sexes;126.0;null;209.0;346.0;
Zimbabwe [Africa];2004;Female;89.0;null;148.0;41.0;
Morocco [Eastern Mediterranean];2004;Both sexes;219.0;null;87.0;66.0;
Timor-Leste [South-East Asia];2004;Both sexes;241.0;null;111.0;153.0;
Niger [Africa];2004;Both sexes;159.0;null;173.0;22.0;
Togo [Africa];2004;Female;88.0;null;357.0;14.0;
Malta [Europe];2004;Male;182.0;null;4;400.0;
Republic of Moldova [Europe];2004;Both sexes;251.0;null;159.0;1102.0;
Colombia [Americas];2004;Female;67.0;null;167.0;302.0;
Bangladesh [South-East Asia];2004;Both sexes;317.0;null;84.0;60.0;
Thailand [South-East Asia];2004;Female;180.0;null;169.0;130.0;
Mexico [Americas];2004;Female;81.0;null;172.0;27.0;
United States of America [Americas];2004;Both sexes;114.0;null;171.0;600.0;
Israel [Europe];2004;Both sexes;79.0;null;179.0;132.0;
Guatemala [Americas];2004;Male;227.0;null;;1194.0;
Congo [Africa];2004;Female;70.0;null;224.0;22.0;
Iceland [Europe];2004;Male;175.0;null;4;461.0;
Tunisia [Eastern Mediterranean];2004;Both sexes;177.0;null;62.0;84.0;
Democratic People's Republic of Korea [South-East Asia];2004;Male;175.0;null;;646.0;
Philippines [Western Pacific];2004;Male;141.0;null;;1082.0;
Norway [Europe];2004;Both sexes;157.0;null;152.0;969.0;
Tunisia [Eastern Mediterranean];2004;Female;129.0;null;122.0;3;
Rwanda [Africa];2004;Male;191.0;null;;319.0;
United States of America [Americas];2004;Male;155.0;null;2;881.0;
Nepal [South-East Asia];2004;Both sexes;280.0;null;140.0;283.0;
Liberia [Africa];2004;Male;180.0;null;;199.0;
Kenya [Africa];2004;Both sexes;110.0;null;93.0;111.0;
Belarus [Europe];2004;Both sexes;424.0;null;153.0;907.0;
Rwanda [Africa];2004;Both sexes;137.0;null;49.0;169.0;
Burkina Faso [Africa];2004;Male;178.0;null;;260.0;
Czechia [Europe];2004;Female;161.0;null;263.0;104.0;
United Republic of Tanzania [Africa];2004;Male;164.0;null;;243.0;
Sri Lanka [South-East Asia];2004;Male;525.0;null;;666.0;
Denmark [Europe];2004;Both sexes;134.0;null;202.0;514.0;
Switzerland [Europe];2004;Male;193.0;null;1;633.0;
Norway [Europe];2004;Male;202.0;null;1;1497.0;
Honduras [Americas];2004;Both sexes;101.0;null;142.0;553.0;
Israel [Europe];2004;Male;109.0;null;1;216.0;
Kuwait [Eastern Mediterranean];2004;Female;92.0;null;177.0;0;
Cambodia [Western Pacific];2004;Female;175.0;null;342.0;16.0;
Italy [Europe];2004;Female;88.0;null;277.0;72.0;
Oman [Eastern Mediterranean];2004;Both sexes;168.0;null;66.0;37.0;
Angola [Africa];2004;Male;361.0;null;;209.0;
Bahamas [Americas];2004;Male;152.0;null;;1212.0;
Central African Republic [Africa];2004;Male;195.0;null;;145.0;
India [South-East Asia];2004;Male;430.0;null;1;484.0;
Afghanistan [Eastern Mediterranean];2004;Both sexes;417.0;null;244.0;30.0;
Ireland [Europe];2004;Female;74.0;null;357.0;189.0;
Indonesia [South-East Asia];2004;Both sexes;455.0;null;168.0;158.0;
