Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
null;null;Americas;2015;Both sexes;76.78436;null;;16.51219;14.91796;;125.7304;
Argentina [Americas];null;null;2015;Male;72.91711;null;13;14.65216;12.61154;;145.0821;
Barbados [Americas];null;null;2000;Both sexes;74.49873;null;;16.35189;15.12864;;128.4441;
Eritrea [Africa];null;null;2015;Both sexes;62.29015;null;;11.08007;46.325;;258.0735;
Belize [Americas];null;null;2015;Both sexes;74.04993;null;;16.69146;15.30908;;181.5948;
Uganda [Africa];null;null;2010;Male;57.01921;null;83;11.03568;82.75827;;389.3744;
Bangladesh [South-East Asia];null;null;2010;Both sexes;70.28825;null;;14.2219;49.14837;;143.1128;
France [Europe];null;null;2000;Female;82.51837;null;5;19.46033;4.73602;;61.12841;
Malawi [Africa];null;null;2019;Both sexes;65.62458;null;;12.77525;40.6496;;;
Ghana [Africa];null;null;2015;Both sexes;64.5454;null;;12.58609;54.56352;;244.9496;
Peru [Americas];null;null;2000;Both sexes;74.42262;null;;16.96199;38.20362;;154.7635;
Kazakhstan [Europe];null;null;2000;Female;69.15388;null;37;13.51873;36.73461;;167.1622;
Bahrain [Eastern Mediterranean];null;null;2010;Female;75.34072;null;8;13.20685;8.20065;;65.33096;
Kiribati [Western Pacific];null;null;2000;Both sexes;55.7305;null;;9.5886;68.13305;;221.9965;
Bolivia (Plurinational State of) [Americas];null;null;2010;Female;71.24718;null;38;14.23637;38.01816;;170.6418;
Jamaica [Americas];null;null;2019;Male;74.35626;null;15;15.50321;15.28285;;;
Norway [Europe];null;null;2015;Both sexes;82.00599;null;;18.27993;2.72519;;53.66254;
Antigua and Barbuda [Americas];null;null;2000;Male;71.99642;null;17;14.87113;16.90423;;183.0056;
Zambia [Africa];null;null;2019;Female;65.36993;null;57;13.6557;58.92252;;;
Morocco [Eastern Mediterranean];null;null;2000;Male;68.06345;null;53;13.85084;56.47265;;180.8129;
Germany [Europe];null;null;2019;Female;84.77129;null;3;19.92312;3.4265;;;
Comoros [Africa];null;null;2015;Male;65.06989;null;77;13.08629;77.85153;;252.2966;
null;Upper-middle-income;null;2019;Both sexes;76.31361;null;;15.95679;;;;
Nigeria [Africa];null;null;2010;Female;60.78948;null;128;13.20513;127.77199;;363.5677;
Comoros [Africa];null;null;2000;Both sexes;61.50557;null;;12.25931;100.6296;;272.1266;
Equatorial Guinea [Africa];null;null;2015;Female;61.83462;null;87;13.49569;86.6651;;252.8246;
Algeria [Africa];null;null;2015;Both sexes;76.54363;null;;15.88955;25.16814;;96.49422;
United Republic of Tanzania [Africa];null;null;2019;Male;65.37194;null;54;12.74107;54.07302;;;
Cambodia [Western Pacific];null;null;2010;Female;70.01144;null;59;13.72135;39.01737;48.57736;166.8956;
Paraguay [Americas];null;null;2010;Female;77.72924;null;23;17.25158;23.49794;;131.0742;
Algeria [Africa];null;null;2015;Male;75.64944;null;27;15.81455;26.55115;;107.6493;
Georgia [Europe];null;null;2010;Both sexes;71.87132;null;;14.10885;14.1756;;156.7567;
Mauritania [Africa];null;null;2010;Male;65.39942;null;103;14.26984;102.24466;;236.0679;
Serbia [Europe];null;null;2000;Both sexes;71.42738;null;;13.23163;12.64995;;140.5856;
Egypt [Eastern Mediterranean];null;null;2019;Male;69.59159;null;21;12.73005;21.40716;;;
Malaysia [Western Pacific];null;null;2010;Female;76.51662;null;7;14.97307;7.2731;;88.90018;
null;null;Global;2000;Male;64.41902;null;;13.11078;77.78051;;213.6823;
Bahrain [Eastern Mediterranean];null;null;2019;Male;75.04118;null;7;13.7876;7.22647;;;
Kiribati [Western Pacific];null;null;2019;Both sexes;59.41902;null;;10.34367;51.15214;;;
null;null;Western Pacific;2010;Both sexes;75.46465;null;;15.6892;17.80255;;94.02402;
Panama [Americas];null;null;2015;Both sexes;78.71516;null;;18.00575;17.01171;;111.9397;
Trinidad and Tobago [Americas];null;null;2019;Male;72.54385;null;19;15.57293;18.79477;;;
