Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
Mali [Africa];null;null;2000;Male;52.60764;null;195;11.89141;195.01665;;345.1731;
Fiji [Western Pacific];null;null;2000;Male;63.68639;null;24;10.05609;23.86402;;265.3237;
Saint Vincent and the Grenadines [Americas];null;null;2010;Female;74.98965;null;18;15.89796;18.05959;;131.5671;
Cyprus [Europe];null;null;2019;Male;81.11502;null;2;18.06276;3.02881;;;
Finland [Europe];null;null;2010;Male;76.68188;null;3;16.2897;3.30141;;120.4903;
Lebanon [Eastern Mediterranean];null;null;2000;Male;73.02654;null;21;14.41493;20.8314;;130.544;
Lao People's Democratic Republic [Western Pacific];null;null;2019;Female;70.94746;null;41;14.04244;40.95639;;;
Tajikistan [Europe];null;null;2000;Male;63.52786;null;91;13.07407;91.04956;;199.892;
Burundi [Africa];null;null;2019;Male;61.54819;null;61;11.77006;61.35211;;;
Latvia [Europe];null;null;2019;Male;70.58307;null;4;13.18813;4.43705;;;
Tonga [Western Pacific];null;null;2000;Both sexes;70.91869;null;;13.78472;16.91367;;158.324;
Japan [Western Pacific];null;null;2019;Male;81.48871;null;3;18.82334;2.65392;;;
Niger [Africa];null;null;2010;Male;57.77248;null;126;12.31891;126.1768;;282.0207;
Nepal [South-East Asia];null;null;2015;Both sexes;69.4259;null;;13.14811;35.51839;;166.1837;
Saint Vincent and the Grenadines [Americas];null;null;2015;Both sexes;72.46788;null;;15.39622;16.74966;;164.4108;
Slovakia [Europe];null;null;2000;Both sexes;73.30185;null;;14.19713;9.75021;;146.7789;
United Arab Emirates [Eastern Mediterranean];null;null;2000;Both sexes;73.18027;null;;13.58815;11.14908;;106.8517;
Lesotho [Africa];null;null;2010;Male;44.50241;null;105;7.80853;104.01713;;520.1309;
Ireland [Europe];null;null;2015;Female;82.92957;null;3;18.96341;3.36541;;47.27837;
Latvia [Europe];null;null;2015;Both sexes;74.79697;null;;15.48525;5.03033;;154.3239;
Cuba [Americas];null;null;2000;Female;79.03805;null;8;17.3568;7.70736;;96.93282;
Peru [Americas];null;null;2019;Male;78.4557;null;14;18.26634;14.52319;;;
Zimbabwe [Africa];null;null;2019;Male;57.51101;null;78;10.18165;58.92604;57.48219;;
Republic of Moldova [Europe];null;null;2015;Both sexes;71.13158;null;;13.60797;15.76492;;183.603;
Armenia [Europe];null;null;2000;Both sexes;71.88136;null;;14.49536;30.59698;;143.4126;
Greece [Europe];null;null;2015;Female;82.93676;null;4;19.2697;4.02455;;42.44876;
Seychelles [Africa];null;null;2010;Male;69.57352;null;15;12.5763;15.10437;;251.1469;
Eritrea [Africa];null;null;2015;Female;65.44547;null;41;12.15886;40.58073;;220.4926;
Democratic Republic of the Congo [Africa];null;null;2019;Male;60.00336;null;91;11.68019;90.26348;;;
null;null;Europe;2000;Male;68.44017;null;;13.42641;23.03582;;228.3291;
Canada [Americas];null;null;2015;Female;83.58485;null;5;19.56315;4.95073;;49.70012;
Russian Federation [Europe];null;null;2000;Male;59.01628;null;22;9.92202;21.79151;;446.571;
Mexico [Americas];null;null;2019;Female;78.86271;null;13;16.80236;12.77496;;;
Lithuania [Europe];null;null;2019;Male;71.2347;null;4;13.41513;3.92139;;;
Cabo Verde [Africa];null;null;2000;Male;66.88631;null;41;13.97192;41.15134;;192.1245;
Micronesia (Federated States of) [Western Pacific];null;null;2010;Female;65.6123;null;36;11.69701;28.49798;;157.5235;
Bhutan [South-East Asia];null;null;2010;Female;72.34988;null;39;14.37973;38.89673;;232.2419;
Belarus [Europe];null;null;2010;Both sexes;70.38769;null;;13.55798;5.59106;;225.5392;
Brazil [Americas];null;null;2019;Male;72.4481;null;16;15.17915;16.63245;;;
Singapore [Western Pacific];null;null;2000;Both sexes;78.43803;null;;16.61108;3.87323;;79.08498;
null;null;South-East Asia;2000;Male;62.19792;null;;11.59771;81.62771;;241.6575;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2000;Both sexes;77.85276;null;;16.26006;6.547;;87.98409;
Peru [Americas];null;null;2019;Female;81.33572;null;12;18.69986;12.01897;;;
Armenia [Europe];null;null;2015;Male;70.88089;null;10;13.58069;15.55209;7.25939;182.1101;
Nepal [South-East Asia];null;null;2015;Female;71.39408;null;34;13.6803;32.96306;;142.6726;
Zimbabwe [Africa];null;null;2010;Both sexes;51.49335;null;;10.45757;86.42749;;500.4332;
Lesotho [Africa];null;null;2015;Male;45.07003;null;101;7.85135;102.06188;;552.5265;
Nicaragua [Americas];null;null;2000;Both sexes;73.25869;null;;15.13969;38.54813;;196.9236;
Cabo Verde [Africa];null;null;2000;Female;74.61189;null;35;16.56553;34.89567;;148.9649;
Malawi [Africa];null;null;2000;Male;43.96169;null;207;9.07949;184.00591;117.13501;566.7422;
Gabon [Africa];null;null;2019;Both sexes;66.46912;null;;12.76922;43.02596;;;
Yemen [Eastern Mediterranean];null;null;2019;Both sexes;66.63147;null;;13.26553;61.48511;;;
Romania [Europe];null;null;2019;Female;79.2589;null;6;17.32391;6.42804;;;
null;High-income;null;2015;Male;77.80768;null;;16.82904;;;;
null;High-income;null;2010;Female;82.48982;null;;18.88235;;;;
Nicaragua [Americas];null;null;2000;Female;75.66858;null;34;15.95539;34.36783;;149.4783;
Rwanda [Africa];null;null;2000;Both sexes;47.50621;null;;9.9972;185.15841;;450.8758;
Tajikistan [Europe];null;null;2019;Both sexes;69.50127;null;;12.72761;33.27721;;;
Japan [Western Pacific];null;null;2015;Female;86.41145;null;3;21.54365;2.603;;36.40355;
Argentina [Americas];null;null;2000;Female;77.82746;null;17;17.22886;17.47571;;94.07677;
Austria [Europe];null;null;2010;Both sexes;80.3856;null;;17.83471;4.33581;;74.42898;
Tunisia [Eastern Mediterranean];null;null;2010;Both sexes;76.0455;null;;15.5777;18.39904;;99.42535;
Vanuatu [Western Pacific];null;null;2010;Female;67.50381;null;27;12.27509;26.8726;;120.2751;
Bolivia (Plurinational State of) [Americas];null;null;2000;Both sexes;66.01998;null;;13.59084;75.63639;;242.6184;
Brazil [Americas];null;null;2000;Female;75.18223;null;31;15.8047;30.68756;;122.1044;
United Arab Emirates [Eastern Mediterranean];null;null;2000;Female;75.05625;null;10;13.99455;9.82198;;88.32083;
Central African Republic [Africa];null;null;2000;Both sexes;44.33932;null;;8.85512;168.89809;;531.4659;
Algeria [Africa];null;null;2000;Male;70.93523;null;43;14.55496;42.53602;;159.6526;
Jordan [Eastern Mediterranean];null;null;2015;Male;76.95224;null;19;16.28835;19.05437;;128.9847;
Eswatini [Africa];null;null;2015;Both sexes;54.04612;null;;10.63579;57.16401;;398.4043;
Cyprus [Europe];null;null;2010;Female;83.09668;null;3;18.70411;3.10404;;42.86572;
Kenya [Africa];null;null;2015;Both sexes;64.16978;null;;12.82676;48.91058;;231.7048;
Nicaragua [Americas];null;null;2019;Male;72.07236;null;19;13.71375;18.50266;;;
Turkey [Europe];null;null;2019;Female;80.67479;null;9;17.31047;9.38828;;;
South Africa [Africa];null;null;2019;Both sexes;65.25417;null;;13.8575;33.04828;;;
Somalia [Eastern Mediterranean];null;null;2019;Female;59.22458;null;111;12.1502;112.03938;;;
Denmark [Europe];null;null;2010;Both sexes;79.16606;null;;17.23068;4.10449;;82.55162;
Guinea [Africa];null;null;2010;Both sexes;58.06684;null;;11.80889;117.70046;;286.1776;
Sierra Leone [Africa];null;null;2010;Both sexes;54.74398;null;;11.68397;160.62904;;414.5552;
Timor-Leste [South-East Asia];null;null;2015;Male;67.30756;null;55;12.8155;54.25921;;178.1156;
Senegal [Africa];null;null;2015;Female;68.7729;null;59;13.28023;44.87284;36.38459;157.1418;
Belarus [Europe];null;null;2000;Both sexes;68.84592;null;;13.10711;12.74533;;247.1165;
Dominican Republic [Americas];null;null;2015;Female;75.20355;null;28;17.00721;31.82864;;120.0351;
Bangladesh [South-East Asia];null;null;2010;Female;72.21562;null;46;14.68889;46.37984;;124.8636;
Kuwait [Eastern Mediterranean];null;null;2015;Both sexes;81.13089;null;;17.96358;8.75533;;80.47378;
Netherlands [Europe];null;null;2000;Female;80.39158;null;6;17.92112;5.51785;;66.85461;
Zimbabwe [Africa];null;null;2019;Both sexes;60.68252;null;;11.48429;54.23561;;;
Lao People's Democratic Republic [Western Pacific];null;null;2000;Female;60.60456;null;98;12.3346;99.11862;;253.9837;
Oman [Eastern Mediterranean];null;null;2000;Male;67.26381;null;18;11.1927;18.02959;;160.7751;
Mauritius [Africa];null;null;2000;Both sexes;71.17201;null;;12.8905;18.78425;;171.7993;
Montenegro [Europe];null;null;2000;Both sexes;73.56364;null;;14.90672;14.17517;;139.825;
Comoros [Africa];null;null;2010;Female;66.35258;null;78;13.66557;78.25546;;220.0637;
Lesotho [Africa];null;null;2019;Female;54.23892;null;79;11.0422;83.15428;;;
Lithuania [Europe];null;null;2019;Both sexes;75.99383;null;;15.921;3.61148;;;
C\u00f4te d'Ivoire [Africa];null;null;2010;Both sexes;56.61696;null;;11.63027;106.28259;;415.4246;
Switzerland [Europe];null;null;2015;Both sexes;82.61449;null;;19.04562;4.28002;;49.6077;
Costa Rica [Americas];null;null;2010;Both sexes;79.55984;null;;18.04996;10.50884;;106.4769;
Rwanda [Africa];null;null;2015;Both sexes;67.68883;null;;13.47498;47.70533;;203.2005;
Samoa [Western Pacific];null;null;2019;Male;69.15868;null;16;13.32714;19.1075;;;
Portugal [Europe];null;null;2015;Male;77.92036;null;4;16.97496;4.00193;;110.6568;
Costa Rica [Americas];null;null;2010;Female;82.21595;null;10;18.90801;9.56884;;73.18599;
Solomon Islands [Western Pacific];null;null;2010;Male;61.29574;null;28;11.01716;28.70651;;188.3953;
Eritrea [Africa];null;null;2000;Both sexes;54.51377;null;;9.87822;85.22173;;600.4639;
Democratic People's Republic of Korea [South-East Asia];null;null;2000;Both sexes;63.95288;null;;12.25619;60.0;;191.4166;
Latvia [Europe];null;null;2000;Male;64.60622;null;16;11.35278;15.5698;;320.432;
Jamaica [Americas];null;null;2010;Female;78.51085;null;16;18.22146;15.70106;;106.106;
Ecuador [Americas];null;null;2000;Male;71.91291;null;32;16.09755;32.93526;;200.6553;
Thailand [South-East Asia];null;null;2015;Both sexes;77.41125;null;;17.88984;10.80418;;149.0156;
Tajikistan [Europe];null;null;2010;Both sexes;68.00558;null;;12.41116;42.7089;;135.386;
Italy [Europe];null;null;2000;Both sexes;79.36485;null;;17.0746;5.56841;;75.3894;
Jamaica [Americas];null;null;2019;Both sexes;75.97828;null;;16.39109;13.69299;;;
Montenegro [Europe];null;null;2015;Both sexes;75.27178;null;;14.6718;3.97869;;101.0436;
Albania [Europe];null;null;2010;Both sexes;76.24688;null;;16.70629;13.2566;;103.476;
Hungary [Europe];null;null;2010;Both sexes;74.576;null;;14.93098;6.01091;;152.0986;
Serbia [Europe];null;null;2015;Female;77.76003;null;6;15.79012;5.65541;;72.00877;
United Arab Emirates [Eastern Mediterranean];null;null;2010;Female;77.39238;null;8;14.73401;7.68745;;61.48824;
Netherlands [Europe];null;null;2015;Male;79.66799;null;4;17.40722;4.42581;;66.48866;
Senegal [Africa];null;null;2015;Both sexes;67.20235;null;;12.85509;49.35984;;188.8731;
Guyana [Americas];null;null;2015;Both sexes;65.58898;null;;12.57791;33.08682;;263.8767;
South Africa [Africa];null;null;2015;Both sexes;62.57465;null;;12.89051;36.34501;;304.5972;
Estonia [Europe];null;null;2010;Both sexes;75.87077;null;;16.00286;4.5875;;134.4969;
Australia [Western Pacific];null;null;2019;Male;81.2524;null;4;18.24803;4.05366;;;
Switzerland [Europe];null;null;2019;Female;85.07654;null;4;20.17538;3.70878;;;
Cabo Verde [Africa];null;null;2010;Both sexes;74.12373;null;;16.54286;26.29192;;138.131;
Armenia [Europe];null;null;2019;Both sexes;76.02519;null;;15.72817;11.48877;;;
Brazil [Americas];null;null;2015;Female;78.64028;null;14;16.91934;14.02818;;92.69142;
Kyrgyzstan [Europe];null;null;2010;Male;65.2009;null;33;12.38177;32.77436;;291.844;
Maldives [South-East Asia];null;null;2010;Both sexes;76.99346;null;;15.52372;13.85282;;71.10393;
India [South-East Asia];null;null;2000;Male;61.34334;null;87;11.07271;86.95352;;251.4356;
null;Lower-middle-income;null;2010;Both sexes;66.38567;null;;12.91453;;;;
Venezuela (Bolivarian Republic of) [Americas];null;null;2010;Both sexes;74.78663;null;;16.47533;17.05839;;161.5845;
Uganda [Africa];null;null;2015;Male;60.81181;null;61;11.60514;60.96192;;340.6472;
Lebanon [Eastern Mediterranean];null;null;2000;Female;76.14052;null;19;15.30391;18.87187;;97.8697;
Thailand [South-East Asia];null;null;2015;Male;74.13372;null;12;16.97643;11.91324;;204.9074;
Finland [Europe];null;null;2000;Male;74.12837;null;5;14.87192;4.7154;;143.2074;
Chile [Americas];null;null;2000;Female;79.76972;null;10;17.46758;9.85199;;68.72896;
Lesotho [Africa];null;null;2015;Female;50.58294;null;86;10.46234;86.74218;;458.5364;
Eswatini [Africa];null;null;2000;Male;44.81421;null;116;8.18594;118.65331;;591.6574;
Slovenia [Europe];null;null;2010;Female;82.73488;null;3;18.59657;2.95409;;51.58305;
Cambodia [Western Pacific];null;null;2015;Male;66.19556;null;35;11.93719;35.2445;;208.2166;
Botswana [Africa];null;null;2010;Male;55.14339;null;38;9.52547;55.38795;;385.7998;
Micronesia (Federated States of) [Western Pacific];null;null;2000;Both sexes;61.19261;null;;11.19956;37.76274;;184.6447;
Kyrgyzstan [Europe];null;null;2010;Both sexes;69.17432;null;;13.81733;29.54299;;208.726;
Afghanistan [Eastern Mediterranean];null;null;2000;Both sexes;54.98949;null;;10.16798;129.17851;;316.0496;
Botswana [Africa];null;null;2019;Male;58.94968;null;45;10.26383;50.05962;;;
Venezuela (Bolivarian Republic of) [Americas];null;null;2010;Female;78.99181;null;15;17.57906;15.17401;;99.09401;
Maldives [South-East Asia];null;null;2015;Female;79.47192;null;9;16.50301;8.81392;;40.71564;
Bahamas [Americas];null;null;2015;Both sexes;72.91566;null;;16.2278;13.98998;;160.5609;
Tunisia [Eastern Mediterranean];null;null;2015;Female;78.83195;null;16;16.56242;15.656;;72.52928;
null;null;South-East Asia;2015;Female;71.78407;null;;13.94401;39.77782;;136.4957;
Serbia [Europe];null;null;2019;Both sexes;75.87003;null;;14.89843;5.69723;;;
Portugal [Europe];null;null;2015;Female;83.66529;null;3;19.39727;3.27763;;44.19427;
Guinea-Bissau [Africa];null;null;2000;Female;52.75846;null;163;11.07345;163.05535;;278.5783;
Japan [Western Pacific];null;null;2019;Both sexes;84.26138;null;;20.39436;2.53174;;;
Mexico [Americas];null;null;2010;Both sexes;75.1333;null;;15.91623;19.19522;;135.6373;
Gambia [Africa];null;null;2015;Male;62.17968;null;65;11.94551;64.94593;;292.3278;
Turkey [Europe];null;null;2019;Male;76.44344;null;11;15.78934;10.71606;;;
Mali [Africa];null;null;2010;Male;58.59385;null;136;12.30242;136.55319;;291.3378;
Indonesia [South-East Asia];null;null;2010;Both sexes;69.25565;null;;13.02247;33.82705;;186.9862;
Australia [Western Pacific];null;null;2015;Male;80.40707;null;4;17.87629;4.20774;;78.67295;
Chile [Americas];null;null;2000;Male;73.63732;null;12;15.10663;11.87918;;136.6216;
Barbados [Americas];null;null;2019;Male;74.32362;null;14;15.68082;13.74806;;;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2010;Male;73.86848;null;20;15.18293;20.09026;;135.2683;
Nigeria [Africa];null;null;2000;Male;52.16397;null;192;11.57092;191.37308;;426.645;
Burundi [Africa];null;null;2019;Both sexes;63.83847;null;;12.65609;56.60187;;;
Bolivia (Plurinational State of) [Americas];null;null;2019;Male;71.14804;null;28;13.96364;28.86009;;;
Togo [Africa];null;null;2000;Both sexes;55.94736;null;;11.73105;119.93328;;321.5676;
Singapore [Western Pacific];null;null;2015;Male;80.71653;null;3;18.40718;2.9515;;67.0472;
Mauritania [Africa];null;null;2000;Male;61.75289;null;120;13.08314;120.26398;;255.5085;
Finland [Europe];null;null;2015;Female;83.85168;null;2;19.43632;2.24836;;43.60738;
Kuwait [Eastern Mediterranean];null;null;2000;Male;76.36451;null;13;16.00656;13.41893;;105.8773;
null;null;Global;2015;Male;69.76766;null;;14.55971;44.6452;;173.7738;
Mauritania [Africa];null;null;2019;Both sexes;68.37999;null;;14.27891;73.00973;;;
India [South-East Asia];null;null;2000;Female;62.92488;null;97;11.59401;96.58202;;193.7481;
Seychelles [Africa];null;null;2015;Male;69.953;null;16;12.84436;15.89952;;235.8594;
Afghanistan [Eastern Mediterranean];null;null;2010;Male;59.60036;null;91;11.13451;91.26589;;275.3412;
Madagascar [Africa];null;null;2000;Both sexes;58.82296;null;;11.51863;105.37432;;282.7924;
Uruguay [Americas];null;null;2010;Male;72.53857;null;12;14.52616;11.84685;;155.8062;
Malta [Europe];null;null;2010;Both sexes;80.4485;null;;17.96928;6.67425;;58.28809;
China [Western Pacific];null;null;2015;Both sexes;76.64185;null;;15.62878;10.70457;;81.5249;
El Salvador [Americas];null;null;2019;Male;70.57839;null;15;15.1349;14.63744;;;
Saint Lucia [Americas];null;null;2019;Male;71.30344;null;24;14.65494;26.0439;;;
Paraguay [Americas];null;null;2010;Both sexes;74.98831;null;;16.41223;26.166;;151.7251;
Argentina [Americas];null;null;2019;Male;73.5108;null;10;14.77404;10.23467;;;
Australia [Western Pacific];null;null;2000;Male;77.12505;null;7;16.08546;6.83457;;97.06122;
Pakistan [Eastern Mediterranean];null;null;2010;Both sexes;62.64254;null;;11.99026;87.10903;;175.3229;
Georgia [Europe];null;null;2015;Male;68.2441;null;12;12.42712;11.68087;;232.4957;
Estonia [Europe];null;null;2019;Female;82.60069;null;2;19.14114;2.02644;;;
Cambodia [Western Pacific];null;null;2000;Male;56.02896;null;133;10.90412;113.68133;102.78529;324.3887;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2000;Female;74.61162;null;33;14.4817;35.27558;;127.903;
Israel [Europe];null;null;2019;Male;80.79258;null;4;18.72654;3.90074;;;
null;null;Africa;2010;Female;61.31003;null;;13.18646;92.40427;;302.1736;
null;null;Europe;2015;Female;80.308;null;;17.89007;8.33996;;72.05115;
Central African Republic [Africa];null;null;2000;Male;43.23857;null;177;7.7131;175.64166;;543.13;
null;null;South-East Asia;2015;Both sexes;70.19729;null;;13.55289;39.69575;;173.6632;
Republic of Korea [Western Pacific];null;null;2010;Female;83.77984;null;4;19.69624;3.79137;;43.47573;
Cuba [Americas];null;null;2010;Male;75.54917;null;7;15.49078;7.04564;;118.6184;
Sudan [Eastern Mediterranean];null;null;2010;Female;68.41431;null;80;13.66516;69.67551;53.13972;212.6337;
Fiji [Western Pacific];null;null;2015;Both sexes;67.82661;null;;11.74527;24.36639;;188.0994;
Burkina Faso [Africa];null;null;2019;Male;60.06457;null;92;11.6123;92.52628;;;
Eritrea [Africa];null;null;2019;Both sexes;64.08144;null;;11.41067;40.58814;;;
Costa Rica [Americas];null;null;2000;Both sexes;78.00478;null;;16.9266;13.07502;;99.87966;
Estonia [Europe];null;null;2010;Male;70.85741;null;5;13.40296;5.05221;;202.6619;
Malawi [Africa];null;null;2010;Female;59.24426;null;117;13.24767;77.24277;65.1903;319.9513;
null;null;Global;2019;Both sexes;73.31331;null;;15.75346;37.69598;;;
Lesotho [Africa];null;null;2000;Both sexes;47.82177;null;;10.26347;106.9223;;507.0296;
Timor-Leste [South-East Asia];null;null;2000;Both sexes;62.66777;null;;12.54037;107.73572;;275.6926;
Portugal [Europe];null;null;2019;Male;78.5585;null;4;17.30965;3.77311;;;
New Zealand [Western Pacific];null;null;2015;Male;79.73185;null;6;17.55342;6.02045;;81.68121;
Cameroon [Africa];null;null;2000;Female;54.35109;null;134;11.92923;134.88061;;397.8191;
Benin [Africa];null;null;2000;Female;58.77462;null;132;12.89802;130.43236;;253.5651;
Djibouti [Eastern Mediterranean];null;null;2015;Male;62.83549;null;71;12.66505;71.17607;;270.7968;
Sudan [Eastern Mediterranean];null;null;2000;Male;60.36473;null;111;12.11297;111.25643;;317.3382;
Tajikistan [Europe];null;null;2010;Female;70.18703;null;38;13.06738;37.53737;;104.888;
South Africa [Africa];null;null;2010;Both sexes;57.14331;null;;12.32673;51.98301;;416.2592;
Micronesia (Federated States of) [Western Pacific];null;null;2000;Female;64.20377;null;48;11.63448;32.6066;;173.7685;
Saint Vincent and the Grenadines [Americas];null;null;2019;Female;75.32427;null;13;16.43848;13.29487;;;
Turkmenistan [Europe];null;null;2010;Male;63.61699;null;49;12.30298;49.12559;;250.1592;
Burkina Faso [Africa];null;null;2010;Female;60.78899;null;141;12.95181;116.28084;71.64266;263.3976;
Saudi Arabia [Eastern Mediterranean];null;null;2019;Male;73.106;null;7;13.80134;7.49973;;;
Lao People's Democratic Republic [Western Pacific];null;null;2019;Both sexes;68.51331;null;;13.29896;45.73892;;;
Madagascar [Africa];null;null;2010;Male;61.43193;null;74;11.6751;74.65556;;272.7204;
Botswana [Africa];null;null;2015;Female;63.9269;null;38;12.83744;45.35121;;214.1987;
C\u00f4te d'Ivoire [Africa];null;null;2015;Both sexes;60.19939;null;;12.18187;90.78118;;410.1044;
Guinea [Africa];null;null;2000;Both sexes;54.25539;null;;11.74367;164.19773;;328.7786;
Eswatini [Africa];null;null;2015;Male;50.25138;null;64;8.66844;62.09084;;467.6631;
Norway [Europe];null;null;2019;Male;81.07995;null;3;17.8303;2.5461;;;
Nepal [South-East Asia];null;null;2000;Female;66.57282;null;79;13.12948;76.84349;;221.5075;
Israel [Europe];null;null;2010;Male;79.61967;null;5;17.94877;4.86507;;77.07362;
Kuwait [Eastern Mediterranean];null;null;2010;Both sexes;79.83041;null;;17.23195;10.35603;;84.08617;
North Macedonia [Europe];null;null;2000;Both sexes;71.10777;null;;12.67053;15.97648;;123.6913;
Slovenia [Europe];null;null;2019;Female;84.0631;null;2;19.15359;2.05708;;;
null;Low-income;null;2015;Male;60.98525;null;;12.01343;;;;
Cabo Verde [Africa];null;null;2015;Female;77.5892;null;18;16.50261;17.60092;;101.4621;
South Sudan [Africa];null;null;2010;Both sexes;61.09674;null;;12.26067;108.4107;;353.7413;
Brazil [Americas];null;null;2015;Both sexes;75.13264;null;;15.93936;15.93588;;144.515;
Mauritius [Africa];null;null;2010;Both sexes;73.24183;null;;13.90233;14.49464;;162.0422;
Eswatini [Africa];null;null;2010;Female;50.76128;null;95;11.38786;79.98537;69.89449;441.3706;
Turkmenistan [Europe];null;null;2015;Male;65.65692;null;39;13.02995;47.94575;34.32699;261.9504;
India [South-East Asia];null;null;2019;Both sexes;70.78756;null;;13.24742;34.37378;;;
Jamaica [Americas];null;null;2010;Male;73.27067;null;20;15.32239;20.19076;;172.0711;
Tonga [Western Pacific];null;null;2000;Male;68.0364;null;16;12.21165;18.92572;;184.1393;
Niger [Africa];null;null;2015;Both sexes;61.53951;null;;12.79816;93.76387;;257.045;
Bangladesh [South-East Asia];null;null;2015;Male;72.49697;null;40;15.53456;40.19577;;152.3478;
Kenya [Africa];null;null;2000;Both sexes;53.87265;null;;11.83598;98.46308;;458.0529;
Seychelles [Africa];null;null;2015;Both sexes;73.19635;null;;14.14185;14.78591;;165.5783;
Mali [Africa];null;null;2019;Female;63.40044;null;88;12.73299;88.51799;;;
El Salvador [Americas];null;null;2019;Female;79.12917;null;12;17.4374;11.93426;;;
Venezuela (Bolivarian Republic of) [Americas];null;null;2000;Female;77.87621;null;19;16.99831;19.03251;;111.2373;
Sao Tome and Principe [Africa];null;null;2010;Both sexes;68.24239;null;;12.93538;36.05437;;205.1428;
Costa Rica [Americas];null;null;2000;Female;80.63433;null;12;17.8352;11.64504;;70.22353;
null;High-income;null;2019;Female;83.34413;null;;19.21977;;;;
null;null;Western Pacific;2000;Both sexes;72.42226;null;;14.74058;34.95487;;113.0891;
Seychelles [Africa];null;null;2019;Female;77.14537;null;13;15.41287;13.11019;;;
Gambia [Africa];null;null;2000;Both sexes;59.24446;null;;12.23052;113.36409;;303.7183;
Canada [Americas];null;null;2010;Female;83.27262;null;5;19.3941;5.26791;;52.26675;
Trinidad and Tobago [Americas];null;null;2019;Female;79.92052;null;16;18.88093;15.42494;;;
Namibia [Africa];null;null;2000;Male;51.00847;null;66;9.39192;80.86998;45.26016;458.8308;
United Republic of Tanzania [Africa];null;null;2019;Female;69.25912;null;47;13.89228;46.61747;;;
Libya [Eastern Mediterranean];null;null;2015;Both sexes;74.60217;null;;15.64504;13.26976;;146.9349;
United States of America [Americas];null;null;2015;Male;76.30525;null;7;15.69843;7.40265;;137.3052;
Madagascar [Africa];null;null;2015;Female;65.50301;null;53;12.79432;53.84807;;195.3704;
Samoa [Western Pacific];null;null;2000;Both sexes;68.50683;null;;12.90629;21.20408;;180.2961;
Bolivia (Plurinational State of) [Americas];null;null;2019;Both sexes;72.13765;null;;14.16826;26.32972;;;
Lithuania [Europe];null;null;2010;Female;78.66704;null;5;17.05377;5.48507;;96.61753;
Ethiopia [Africa];null;null;2000;Female;51.69564;null;178;10.99494;129.59247;100.63056;377.8796;
Switzerland [Europe];null;null;2010;Male;80.02937;null;5;17.82715;4.93293;;71.09506;
Guatemala [Americas];null;null;2019;Both sexes;72.01939;null;;15.02663;24.5029;;;
Singapore [Western Pacific];null;null;2019;Female;85.45309;null;2;21.04946;2.19726;;;
El Salvador [Americas];null;null;2000;Male;68.3898;null;36;15.15856;36.24457;;305.4047;
Spain [Europe];null;null;2000;Male;75.69277;null;6;15.73615;5.90344;;119.7448;
Panama [Americas];null;null;2010;Both sexes;77.53473;null;;17.5946;19.85761;;116.9551;
Equatorial Guinea [Africa];null;null;2010;Female;59.12447;null;104;13.14856;103.9002;;324.51;
Kuwait [Eastern Mediterranean];null;null;2015;Female;83.84083;null;8;18.90624;7.92218;;58.31994;
Guatemala [Americas];null;null;2000;Both sexes;66.78309;null;;14.14004;52.13827;;219.6475;
Bhutan [South-East Asia];null;null;2015;Female;73.45096;null;30;14.53389;30.13992;;214.6097;
Brazil [Americas];null;null;2019;Female;79.38875;null;12;17.38738;13.16342;;;
Slovenia [Europe];null;null;2000;Male;72.18355;null;6;13.23433;5.96935;;167.0023;
Libya [Eastern Mediterranean];null;null;2000;Male;72.69602;null;31;15.12319;30.83886;;168.7241;
Belgium [Europe];null;null;2010;Both sexes;79.84602;null;;17.51807;4.44587;;81.23653;
Bahrain [Eastern Mediterranean];null;null;2019;Both sexes;75.81459;null;;13.83864;6.9555;;;
Myanmar [South-East Asia];null;null;2015;Male;64.32043;null;78;12.11098;56.76544;63.6252;231.7893;
Mongolia [Western Pacific];null;null;2019;Both sexes;68.09768;null;;12.6194;16.03811;;;
Mozambique [Africa];null;null;2019;Female;61.73365;null;70;13.02115;68.15441;;;
Viet Nam [Western Pacific];null;null;2015;Both sexes;73.16457;null;;14.65139;21.80634;;126.4489;
United Republic of Tanzania [Africa];null;null;2010;Male;60.01528;null;97;11.94834;75.96277;62.10332;367.1562;
null;Upper-middle-income;null;2000;Male;67.73392;null;;13.04359;;;;
Ghana [Africa];null;null;2010;Female;64.52904;null;63;13.17205;62.64341;;250.6834;
Syrian Arab Republic [Eastern Mediterranean];null;null;2015;Male;60.87939;null;25;11.85955;43.42677;;406.3696;
Niger [Africa];null;null;2019;Male;62.06462;null;84;12.73846;84.16556;;;
Colombia [Americas];null;null;2015;Female;81.01265;null;18;18.50836;13.78164;15.82114;92.36302;
Germany [Europe];null;null;2015;Male;78.11604;null;4;16.68916;4.24262;;91.73702;
United States of America [Americas];null;null;2000;Female;79.16907;null;8;16.57225;7.58927;;83.67208;
