Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);Age-standardized NCD mortality rate  (per 100 000 population);Mortality rate among children ages 10 to 14 years (per 1000 children aged 10);
Guatemala [Americas];2002;null;Not applicable;47.8;null;;;;;;
Samoa [Western Pacific];2004;Both sexes;null;1.0;null;15.11784;1.7;0.55669;814.1533;1.17105;
Afghanistan [Eastern Mediterranean];2002;null;Not applicable;4.65;null;;;;;;
Republic of Moldova [Europe];2004;Female;null;0.1;null;7.2283;0.0;5.35924;770.736;;
Saint Vincent and the Grenadines [Americas];2004;Both sexes;null;16.6;null;7.37191;11.7;0.04625;640.9305;2.09602;
Azerbaijan [Europe];2004;Female;null;0.1;null;4.47927;0.6;0.61636;777.01;;
Mauritania [Africa];2004;Both sexes;null;17.6;null;26.67351;21.7;1.47344;509.1068;2.8161;
Somalia [Eastern Mediterranean];2004;Female;null;0.1;null;15.79914;2.0;2.66751;667.7976;;
Georgia [Europe];2004;Male;null;6.2;null;25.11802;22.0;0.8431;1161.373;;
Republic of Moldova [Europe];2002;null;Not applicable;11.85;null;;;;;;
Portugal [Europe];2004;Male;null;2.5;null;30.46115;1.9;0.26882;554.0523;;
Zambia [Africa];2002;null;Not applicable;5.12;null;;;;;;
Croatia [Europe];2004;Male;null;1.9;null;23.69727;2.1;1.42359;753.131;;
Gambia [Africa];2004;Both sexes;null;16.1;null;25.92675;24.9;3.07191;654.8397;7.70685;
Vanuatu [Western Pacific];2004;Female;null;0.0;null;6.96786;0.0;0.28893;829.2511;;
Republic of Korea [Western Pacific];2004;Male;null;2.1;null;23.77697;1.8;0.65095;557.2825;;
Poland [Europe];2002;null;Not applicable;1.65;null;;;;;;
Dominican Republic [Americas];2002;null;Not applicable;11.19;null;;;;;;
Uruguay [Americas];2002;null;Not applicable;5.72;null;;;;;;
Zambia [Africa];2004;Male;null;51.7;null;37.42938;23.0;5.12752;1012.091;;
Ukraine [Europe];2004;Male;null;15.7;null;34.02573;8.1;13.30353;1241.024;;
Saint Kitts and Nevis [Americas];2004;Male;null;23.2;null;;5.7;;;;
Ethiopia [Africa];2002;null;Not applicable;26.46;null;;;;;;
South Africa [Africa];2004;Male;null;121.1;null;59.66228;14.7;2.32834;934.0982;;
Tonga [Western Pacific];2004;Female;null;0.0;null;6.039;0.0;1.16824;501.5768;;
Nigeria [Africa];2004;Male;null;34.9;null;37.62474;25.1;3.8414;678.013;;
Cook Islands [Western Pacific];2004;Both sexes;null;0.8;null;;2.0;;;1.62195;
Gabon [Africa];2004;Female;null;0.0;null;15.96725;0.2;1.17735;646.7931;;
