Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;Age-standardized NCD mortality rate  (per 100 000 population);
Uruguay [Americas];2004;Both sexes;88.0;null;198.0;607.0;3.6;521.8799;
El Salvador [Americas];2004;Female;86.0;null;101.0;155.0;0.3;352.4965;
San Marino [Europe];2004;Both sexes;61.0;null;87.0;335.0;;;
Costa Rica [Americas];2004;Female;66.0;null;188.0;155.0;0.1;329.2807;
Ethiopia [Africa];2004;Both sexes;100.0;null;103.0;133.0;15.9;653.421;
Congo [Africa];2004;Both sexes;99.0;null;119.0;97.0;20.3;824.3923;
Turkmenistan [Europe];2004;Both sexes;210.0;null;72.0;186.0;29.0;999.6888;
Trinidad and Tobago [Americas];2004;Both sexes;126.0;null;209.0;346.0;10.4;693.865;
Republic of Korea [Western Pacific];2004;Female;212.0;null;100.0;57.0;0.4;321.2784;
Argentina [Americas];2004;Female;52.0;null;316.0;218.0;1.4;402.8935;
Cabo Verde [Africa];2004;Both sexes;79.0;null;140.0;113.0;7.4;467.4895;
Brazil [Americas];2004;Male;239.0;null;;1090.0;11.8;671.7964;
Bulgaria [Europe];2004;Male;328.0;null;2;597.0;4.5;934.0126;
Senegal [Africa];2004;Both sexes;117.0;null;112.0;48.0;20.6;623.1056;
Poland [Europe];2004;Female;120.0;null;256.0;160.0;0.3;439.8272;
Sri Lanka [South-East Asia];2004;Male;525.0;null;;666.0;8.4;688.1807;
Japan [Western Pacific];2004;Both sexes;107.0;null;90.0;118.0;0.4;280.7143;
France [Europe];2004;Female;116.0;null;346.0;200.0;0.1;267.4059;
Oman [Eastern Mediterranean];2004;Both sexes;168.0;null;66.0;37.0;3.4;802.0792;
Latvia [Europe];2004;Both sexes;337.0;null;169.0;917.0;0.9;728.3365;
Panama [Americas];2004;Female;68.0;null;207.0;137.0;0.2;332.1961;
Ethiopia [Africa];2004;Female;66.0;null;197.0;18.0;10.4;613.9047;
South Africa [Africa];2004;Female;67.0;null;285.0;111.0;3.4;701.7191;
Philippines [Western Pacific];2004;Male;141.0;null;;1082.0;12.6;882.1969;
Cameroon [Africa];2004;Female;100.0;null;368.0;27.0;2.6;675.5907;
Madagascar [Africa];2004;Female;86.0;null;166.0;15.0;4.3;708.9144;
Suriname [Americas];2004;Female;127.0;null;201.0;136.0;0.0;524.8953;
Bolivia (Plurinational State of) [Americas];2004;Male;230.0;null;;996.0;15.3;612.5527;
Nauru [Western Pacific];2004;Female;230.0;null;309.0;43.0;;;
Eritrea [Africa];2004;Both sexes;84.0;null;73.0;46.0;12.1;796.4029;
Bosnia and Herzegovina [Europe];2004;Male;218.0;null;3;741.0;2.6;725.8683;
Saint Kitts and Nevis [Americas];2004;Both sexes;164.0;null;179.0;561.0;4.0;;
Cook Islands [Western Pacific];2004;Female;123.0;null;126.0;13.0;0.0;;
Belgium [Europe];2004;Male;196.0;null;2;373.0;1.1;522.6406;
Jamaica [Americas];2004;Both sexes;103.0;null;173.0;211.0;8.0;414.2825;
Bulgaria [Europe];2004;Female;68.0;null;241.0;135.0;0.1;586.0806;
Niger [Africa];2004;Both sexes;159.0;null;173.0;22.0;16.8;618.3465;
Saint Vincent and the Grenadines [Americas];2004;Male;327.0;null;4;984.0;12.5;718.4427;
Mali [Africa];2004;Both sexes;143.0;null;133.0;32.0;31.2;665.2017;
Belarus [Europe];2004;Female;187.0;null;276.0;247.0;0.0;624.4734;
Chile [Americas];2004;Female;51.0;null;166.0;173.0;0.1;359.9832;
Seychelles [Africa];2004;Both sexes;73.0;null;117.0;204.0;5.0;639.949;
Saint Kitts and Nevis [Americas];2004;Male;302.0;null;;964.0;5.7;;
Djibouti [Eastern Mediterranean];2004;Female;86.0;null;169.0;10.0;0.1;561.5557;
Germany [Europe];2004;Both sexes;103.0;null;161.0;519.0;2.4;428.0685;
Malawi [Africa];2004;Male;129.0;null;;99.0;19.0;896.258;
Barbados [Americas];2004;Female;31.0;null;490.0;151.0;0.0;454.026;
Botswana [Africa];2004;Male;128.0;null;;246.0;35.3;1241.804;
Uruguay [Americas];2004;Female;52.0;null;370.0;185.0;0.0;397.5841;
Cambodia [Western Pacific];2004;Both sexes;216.0;null;196.0;230.0;21.5;727.1653;
Niger [Africa];2004;Male;207.0;null;;34.0;16.4;636.9012;
Libya [Eastern Mediterranean];2004;Female;130.0;null;214.0;0;0.3;409.1868;
Central African Republic [Africa];2004;Both sexes;141.0;null;104.0;80.0;24.4;1008.958;
Panama [Americas];2004;Both sexes;114.0;null;104.0;456.0;9.0;382.4737;
Kyrgyzstan [Europe];2004;Male;513.0;null;;389.0;23.7;1001.43;
Uruguay [Americas];2004;Male;124.0;null;1;1043.0;4.1;700.352;
Uganda [Africa];2004;Both sexes;133.0;null;80.0;246.0;15.9;754.3711;
Malaysia [Western Pacific];2004;Both sexes;128.0;null;125.0;274.0;4.4;581.3911;
Micronesia (Federated States of) [Western Pacific];2004;Both sexes;70.0;null;83.0;230.0;;1139.571;
Lebanon [Eastern Mediterranean];2004;Both sexes;282.0;null;135.0;88.0;11.0;555.4968;
Cameroon [Africa];2004;Both sexes;127.0;null;192.0;125.0;18.7;768.7594;
Georgia [Europe];2004;Female;37.0;null;246.0;35.0;0.2;716.8951;
Barbados [Americas];2004;Both sexes;54.0;null;261.0;482.0;8.1;498.8527;
Pakistan [Eastern Mediterranean];2004;Female;290.0;null;280.0;16.0;21.6;783.4079;
Cuba [Americas];2004;Female;125.0;null;211.0;108.0;0.0;381.9016;
Mali [Africa];2004;Female;103.0;null;235.0;11.0;3.3;688.7063;
Thailand [South-East Asia];2004;Male;207.0;null;;1224.0;8.2;507.7032;
Kuwait [Eastern Mediterranean];2004;Both sexes;120.0;null;63.0;6;5.3;402.0507;
Turkmenistan [Europe];2004;Male;320.0;null;;313.0;34.3;1227.362;
Kuwait [Eastern Mediterranean];2004;Male;136.0;null;;10.0;5.8;433.9195;
Eswatini [Africa];2004;Female;96.0;null;123.0;35.0;0.2;1047.094;
Mali [Africa];2004;Male;189.0;null;;56.0;34.6;637.1101;
Hungary [Europe];2004;Male;310.0;null;;2146.0;5.9;930.7477;
Peru [Americas];2004;Male;166.0;null;;1336.0;7.4;361.2138;
Hungary [Europe];2004;Both sexes;232.0;null;166.0;1242.0;5.5;695.1255;
Spain [Europe];2004;Male;160.0;null;2;180.0;1.3;502.1011;
Croatia [Europe];2004;Female;125.0;null;308.0;198.0;0.0;448.7747;
Costa Rica [Americas];2004;Both sexes;123.0;null;96.0;527.0;3.8;387.8628;
Italy [Europe];2004;Both sexes;130.0;null;144.0;80.0;1.4;370.8179;
Slovakia [Europe];2004;Both sexes;273.0;null;134.0;726.0;4.3;638.1589;
Zimbabwe [Africa];2004;Both sexes;141.0;null;80.0;199.0;23.2;667.0287;
Togo [Africa];2004;Female;88.0;null;357.0;14.0;1.3;635.5494;
Solomon Islands [Western Pacific];2004;Male;78.0;null;;237.0;18.6;963.5613;
Norway [Europe];2004;Male;202.0;null;1;1497.0;0.2;481.4086;
Namibia [Africa];2004;Male;101.0;null;;236.0;15.9;993.1878;
Bahamas [Americas];2004;Male;152.0;null;;1212.0;2.0;663.1314;
Monaco [Europe];2004;Female;87.0;null;252.0;169.0;0.0;;
Sudan [Eastern Mediterranean];2004;Female;141.0;null;347.0;16.0;7.8;617.333;
North Macedonia [Europe];2004;Female;52.0;null;290.0;112.0;0.0;752.4974;
Equatorial Guinea [Africa];2004;Female;118.0;null;214.0;18.0;0.1;624.189;
United Arab Emirates [Eastern Mediterranean];2004;Male;142.0;null;;94.0;4.5;649.4035;
Saudi Arabia [Eastern Mediterranean];2004;Male;463.0;null;;63.0;8.1;736.6288;
Saint Lucia [Americas];2004;Female;58.0;null;286.0;180.0;0.0;446.6884;
Estonia [Europe];2004;Female;147.0;null;257.0;290.0;0.0;480.4619;
Dominican Republic [Americas];2004;Both sexes;184.0;null;164.0;517.0;14.3;421.7967;
Poland [Europe];2004;Male;425.0;null;2;756.0;3.7;799.9812;
Finland [Europe];2004;Male;384.0;null;1;1139.0;1.7;546.3081;
Lithuania [Europe];2004;Male;553.0;null;1;1803.0;2.1;902.5361;
Switzerland [Europe];2004;Female;84.0;null;291.0;161.0;0.0;276.9754;
Tuvalu [Western Pacific];2004;Both sexes;125.0;null;189.0;187.0;2.5;;
Brazil [Americas];2004;Both sexes;161.0;null;177.0;627.0;10.6;548.9987;
Gabon [Africa];2004;Both sexes;124.0;null;81.0;189.0;22.6;720.8522;
Oman [Eastern Mediterranean];2004;Male;232.0;null;;61.0;3.6;868.045;
Philippines [Western Pacific];2004;Female;87.0;null;290.0;114.0;5.4;548.105;
United Republic of Tanzania [Africa];2004;Female;76.0;null;210.0;30.0;6.7;499.1983;
Luxembourg [Europe];2004;Female;116.0;null;294.0;192.0;0.0;329.8018;
South Africa [Africa];2004;Both sexes;104.0;null;156.0;287.0;13.1;801.7928;
Kiribati [Western Pacific];2004;Both sexes;35.0;null;156.0;265.0;;1389.004;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Both sexes;300.0;null;85.0;59.0;14.6;542.4975;
France [Europe];2004;Male;203.0;null;5;836.0;0.9;486.5921;
Iraq [Eastern Mediterranean];2004;Female;622.0;null;382.0;1;7.7;597.3177;
Gambia [Africa];2004;Both sexes;110.0;null;55.0;82.0;24.9;654.8397;
Bahamas [Americas];2004;Female;108.0;null;416.0;221.0;0.0;486.7907;
Austria [Europe];2004;Both sexes;151.0;null;135.0;426.0;4.0;417.2603;
Senegal [Africa];2004;Male;140.0;null;;83.0;21.6;671.2913;
Slovenia [Europe];2004;Male;320.0;null;;636.0;2.6;639.9436;
Finland [Europe];2004;Both sexes;266.0;null;126.0;687.0;1.3;413.8352;
C\u00f4te d'Ivoire [Africa];2004;Both sexes;213.0;null;208.0;74.0;42.1;744.6774;
Somalia [Eastern Mediterranean];2004;Female;429.0;null;261.0;22.0;2.0;667.7976;
Republic of Moldova [Europe];2004;Female;130.0;null;281.0;298.0;0.0;770.736;
Austria [Europe];2004;Female;85.0;null;259.0;163.0;0.1;335.7056;
Chad [Africa];2004;Male;191.0;null;;232.0;20.0;760.0266;
Peru [Americas];2004;Female;106.0;null;255.0;258.0;1.0;332.3371;
Switzerland [Europe];2004;Both sexes;139.0;null;153.0;399.0;1.5;344.0188;
Paraguay [Americas];2004;Male;139.0;null;;723.0;9.2;495.3236;
France [Europe];2004;Both sexes;160.0;null;182.0;520.0;0.8;362.3329;
Azerbaijan [Europe];2004;Female;45.0;null;284.0;74.0;0.6;777.01;
Colombia [Americas];2004;Both sexes;155.0;null;89.0;799.0;9.4;400.3552;
Uzbekistan [Europe];2004;Female;87.0;null;148.0;32.0;2.7;773.3813;
Algeria [Africa];2004;Both sexes;74.0;null;109.0;25.0;17.1;555.9263;
Georgia [Europe];2004;Both sexes;90.0;null;134.0;533.0;19.4;896.6879;
