Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;Age-standardized NCD mortality rate  (per 100 000 population);
Viet Nam [Western Pacific];2004;Male;211.0;null;;556.0;9.7;788.7014;
Jamaica [Americas];2004;Female;76.0;null;337.0;50.0;0.1;386.6529;
Comoros [Africa];2004;Male;85.0;null;;28.0;22.0;660.4281;
Russian Federation [Europe];2004;Female;216.0;null;312.0;369.0;1.3;706.2465;
Australia [Western Pacific];2004;Both sexes;175.0;null;171.0;571.0;0.6;351.2596;
Tuvalu [Western Pacific];2004;Male;106.0;null;12.0;354.0;1.9;;
Algeria [Africa];2004;Female;72.0;null;212.0;7;2.9;529.8498;
Guinea-Bissau [Africa];2004;Female;96.0;null;419.0;21.0;0.4;654.7846;
Slovenia [Europe];2004;Female;111.0;null;301.0;153.0;0.0;364.5331;
Niue [Western Pacific];2004;Female;139.0;null;167.0;41.0;0.0;;
Central African Republic [Africa];2004;Female;91.0;null;188.0;20.0;0.9;870.5828;
Estonia [Europe];2004;Male;435.0;null;2;1753.0;3.4;952.2561;
United States of America [Americas];2004;Female;71.0;null;329.0;314.0;3.1;379.3303;
Nicaragua [Americas];2004;Male;195.0;null;;951.0;10.9;647.2017;
Afghanistan [Eastern Mediterranean];2004;Male;545.0;null;;54.0;25.8;1056.335;
United Arab Emirates [Eastern Mediterranean];2004;Female;95.0;null;133.0;0;0.1;523.5662;
Albania [Europe];2004;Female;102.0;null;384.0;88.0;0.1;456.4321;
Norway [Europe];2004;Female;111.0;null;301.0;425.0;0.0;314.838;
Ukraine [Europe];2004;Both sexes;326.0;null;166.0;687.0;7.0;906.1452;
Burkina Faso [Africa];2004;Female;110.0;null;450.0;31.0;2.2;617.8084;
Lithuania [Europe];2004;Both sexes;337.0;null;154.0;1030.0;2.3;646.7481;
Kazakhstan [Europe];2004;Male;428.0;null;;1284.0;33.3;1312.95;
Libya [Eastern Mediterranean];2004;Male;218.0;null;;9;7.8;522.7065;
Indonesia [South-East Asia];2004;Female;554.0;null;327.0;44.0;12.0;645.2013;
Israel [Europe];2004;Both sexes;79.0;null;179.0;132.0;2.3;387.2275;
Madagascar [Africa];2004;Male;123.0;null;;106.0;27.6;795.1097;
Mexico [Americas];2004;Female;81.0;null;172.0;27.0;4.5;407.6107;
Egypt [Eastern Mediterranean];2004;Both sexes;174.0;null;128.0;37.0;10.0;768.8781;
Suriname [Americas];2004;Male;207.0;null;12.0;747.0;16.8;745.3601;
Nigeria [Africa];2004;Both sexes;143.0;null;258.0;137.0;25.3;632.5731;
Grenada [Americas];2004;Both sexes;138.0;null;225.0;534.0;7.2;686.7384;
Maldives [South-East Asia];2004;Male;397.0;null;1;545.0;19.2;634.0946;
Ghana [Africa];2004;Both sexes;103.0;null;155.0;127.0;22.9;677.5735;
Bangladesh [South-East Asia];2004;Female;310.0;null;169.0;12.0;20.4;526.7609;
Tajikistan [Europe];2004;Male;149.0;null;;341.0;27.2;896.9153;
Ethiopia [Africa];2004;Male;136.0;null;;250.0;17.6;695.6158;
Burkina Faso [Africa];2004;Both sexes;143.0;null;248.0;144.0;16.2;693.3173;
Cyprus [Europe];2004;Both sexes;67.0;null;120.0;200.0;0.9;425.9886;
Timor-Leste [South-East Asia];2004;Female;172.0;null;218.0;33.0;0.1;554.1776;
Somalia [Eastern Mediterranean];2004;Male;404.0;null;;100.0;22.8;978.0466;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Male;122.0;null;1;1061.0;4.0;519.4919;
Micronesia (Federated States of) [Western Pacific];2004;Male;73.0;null;;444.0;;1295.38;
Benin [Africa];2004;Male;130.0;null;;99.0;22.4;823.0079;
Afghanistan [Eastern Mediterranean];2004;Both sexes;417.0;null;244.0;30.0;25.1;1038.197;
Niue [Western Pacific];2004;Male;106.0;null;5;1362.0;2.2;;
Tajikistan [Europe];2004;Female;70.0;null;142.0;41.0;1.2;773.1904;
Andorra [Europe];2004;Female;73.0;null;267.0;162.0;0.0;;
Turkmenistan [Europe];2004;Female;101.0;null;135.0;65.0;0.6;821.5847;
Armenia [Europe];2004;Both sexes;157.0;null;310.0;157.0;13.8;676.3682;
Bangladesh [South-East Asia];2004;Both sexes;317.0;null;84.0;60.0;20.9;603.0115;
Gambia [Africa];2004;Male;132.0;null;;144.0;27.7;737.9048;
New Zealand [Western Pacific];2004;Male;230.0;null;1;367.0;2.9;488.4253;
Chad [Africa];2004;Both sexes;149.0;null;111.0;129.0;18.1;666.4847;
Guinea-Bissau [Africa];2004;Both sexes;127.0;null;221.0;88.0;25.9;788.4716;
Sweden [Europe];2004;Female;69.0;null;230.0;402.0;0.0;314.2472;
Russian Federation [Europe];2004;Male;740.0;null;3;2219.0;4.4;1355.925;
Japan [Western Pacific];2004;Male;145.0;null;;223.0;0.4;381.0468;
Maldives [South-East Asia];2004;Female;320.0;null;181.0;74.0;0.0;590.7391;
Antigua and Barbuda [Americas];2004;Female;50.0;null;549.0;133.0;0.0;463.3059;
Marshall Islands [Western Pacific];2004;Male;106.0;null;14.0;9;5.3;;
Portugal [Europe];2004;Both sexes;154.0;null;144.0;413.0;1.9;430.2889;
Barbados [Americas];2004;Male;77.0;null;;823.0;7.7;560.3081;
Zimbabwe [Africa];2004;Male;197.0;null;;357.0;26.1;729.4711;
Azerbaijan [Europe];2004;Both sexes;86.0;null;151.0;275.0;23.4;900.9445;
Colombia [Americas];2004;Female;67.0;null;167.0;302.0;1.9;366.7477;
Haiti [Americas];2004;Both sexes;281.0;null;15.0;742.0;16.5;897.942;
Eswatini [Africa];2004;Male;144.0;null;;310.0;28.8;1476.643;
Iraq [Eastern Mediterranean];2004;Male;1374.0;null;;35.0;38.0;752.9287;
Portugal [Europe];2004;Female;79.0;null;271.0;160.0;0.1;334.1622;
Syrian Arab Republic [Eastern Mediterranean];2004;Both sexes;125.0;null;87.0;53.0;3.9;665.4338;
Fiji [Western Pacific];2004;Male;80.0;null;;553.0;2.8;1176.509;
Iceland [Europe];2004;Both sexes;134.0;null;148.0;291.0;0.9;358.8624;
Sao Tome and Principe [Africa];2004;Both sexes;150.0;null;95.0;174.0;;599.8421;
Democratic People's Republic of Korea [South-East Asia];2004;Male;175.0;null;;646.0;14.5;758.009;
Bhutan [South-East Asia];2004;Male;362.0;null;;228.0;13.7;623.0157;
C\u00f4te d'Ivoire [Africa];2004;Female;124.0;null;438.0;18.0;5.4;587.6963;
Belgium [Europe];2004;Female;99.0;null;388.0;155.0;0.0;322.3407;
Denmark [Europe];2004;Both sexes;134.0;null;202.0;514.0;2.4;477.5243;
Bhutan [South-East Asia];2004;Both sexes;328.0;null;79.0;134.0;13.6;598.5207;
Pakistan [Eastern Mediterranean];2004;Male;277.0;null;;132.0;20.8;910.4332;
North Macedonia [Europe];2004;Both sexes;163.0;null;153.0;316.0;10.1;871.3481;
Cyprus [Europe];2004;Male;80.0;null;;410.0;1.0;514.0847;
Samoa [Western Pacific];2004;Male;86.0;null;;5;1.9;909.4097;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Male;344.0;null;;115.0;15.5;597.243;
Portugal [Europe];2004;Male;229.0;null;4;666.0;1.9;554.0523;
Timor-Leste [South-East Asia];2004;Male;308.0;null;;271.0;15.4;571.368;
Uzbekistan [Europe];2004;Both sexes;183.0;null;77.0;153.0;21.4;881.7629;
Democratic Republic of the Congo [Africa];2004;Male;85.0;null;;144.0;32.7;846.3708;
Angola [Africa];2004;Male;361.0;null;;209.0;35.9;882.4595;
Lao People's Democratic Republic [Western Pacific];2004;Female;439.0;null;165.0;32.0;0.5;698.8098;
Mozambique [Africa];2004;Female;78.0;null;31.0;15.0;3.9;596.8509;
Saint Vincent and the Grenadines [Americas];2004;Female;73.0;null;389.0;155.0;0.0;574.6247;
Djibouti [Eastern Mediterranean];2004;Both sexes;184.0;null;87.0;54.0;23.0;631.6885;
Mexico [Americas];2004;Male;200.0;null;2;562.0;10.3;534.1182;
Philippines [Western Pacific];2004;Both sexes;114.0;null;148.0;596.0;10.9;693.3588;
Cambodia [Western Pacific];2004;Female;175.0;null;342.0;16.0;1.8;637.6902;
Croatia [Europe];2004;Male;261.0;null;5;844.0;2.1;753.131;
Congo [Africa];2004;Male;129.0;null;;174.0;22.7;846.8438;
Papua New Guinea [Western Pacific];2004;Both sexes;253.0;null;65.0;263.0;15.6;811.8264;
Canada [Americas];2004;Both sexes;85.0;null;172.0;596.0;1.7;376.5039;
Qatar [Eastern Mediterranean];2004;Female;63.0;null;101.0;0;0.0;870.6725;
Dominican Republic [Americas];2004;Female;138.0;null;328.0;150.0;0.8;375.2091;
Brunei Darussalam [Western Pacific];2004;Male;143.0;null;;173.0;5.3;730.4418;
Brunei Darussalam [Western Pacific];2004;Female;77.0;null;226.0;18.0;0.0;658.1461;
Iceland [Europe];2004;Female;92.0;null;295.0;116.0;0.0;305.541;
Sierra Leone [Africa];2004;Female;125.0;null;493.0;35.0;1.6;628.7023;
Palau [Western Pacific];2004;Male;106.0;null;7;4;1.8;;
Rwanda [Africa];2004;Male;191.0;null;;319.0;25.1;893.8636;
Cameroon [Africa];2004;Male;153.0;null;;224.0;20.6;882.0368;
Mauritania [Africa];2004;Male;142.0;null;;18.0;23.9;454.431;
Seychelles [Africa];2004;Male;110.0;null;26.0;383.0;5.2;833.4398;
Bangladesh [South-East Asia];2004;Male;323.0;null;;105.0;22.1;672.8146;
Mozambique [Africa];2004;Male;148.0;null;;107.0;20.4;972.416;
Ecuador [Americas];2004;Female;105.0;null;168.0;212.0;0.6;409.1292;
New Zealand [Western Pacific];2004;Both sexes;170.0;null;200.0;284.0;2.5;412.0285;
Mauritania [Africa];2004;Female;93.0;null;312.0;6;0.5;550.0552;
Guyana [Americas];2004;Both sexes;184.0;null;190.0;437.0;22.3;875.261;
Gabon [Africa];2004;Female;99.0;null;159.0;37.0;0.2;646.7931;
Cambodia [Western Pacific];2004;Male;259.0;null;;466.0;23.7;850.8337;
Andorra [Europe];2004;Male;150.0;null;2;668.0;0.8;;
Venezuela (Bolivarian Republic of) [Americas];2004;Male;213.0;null;1;970.0;8.3;533.0504;
Romania [Europe];2004;Male;485.0;null;3;856.0;3.5;903.5004;
Sri Lanka [South-East Asia];2004;Both sexes;649.0;null;129.0;358.0;7.1;564.2751;
Mongolia [Western Pacific];2004;Male;547.0;null;;795.0;16.9;1551.386;
Cook Islands [Western Pacific];2004;Both sexes;114.0;null;63.0;222.0;2.0;;
Bhutan [South-East Asia];2004;Female;289.0;null;166.0;27.0;0.0;570.1901;
Gabon [Africa];2004;Male;149.0;null;;341.0;26.1;816.8395;
Dominican Republic [Americas];2004;Male;231.0;null;;885.0;15.6;471.6363;
Malta [Europe];2004;Female;102.0;null;309.0;96.0;0.0;356.0269;
Guinea [Africa];2004;Female;107.0;null;195.0;9;1.9;611.7459;
Germany [Europe];2004;Male;135.0;null;;846.0;2.7;537.2261;
Trinidad and Tobago [Americas];2004;Male;183.0;null;4;599.0;13.5;858.1209;
Papua New Guinea [Western Pacific];2004;Female;247.0;null;132.0;17.0;0.7;695.6549;
Congo [Africa];2004;Female;70.0;null;224.0;22.0;0.6;809.288;
Sierra Leone [Africa];2004;Male;316.0;null;;292.0;38.9;712.2658;
Morocco [Eastern Mediterranean];2004;Both sexes;219.0;null;87.0;66.0;12.3;646.4813;
Timor-Leste [South-East Asia];2004;Both sexes;241.0;null;111.0;153.0;13.6;562.4181;
Turkey [Europe];2004;Both sexes;235.0;null;98.0;158.0;11.5;481.9291;
Maldives [South-East Asia];2004;Both sexes;359.0;null;89.0;316.0;18.8;614.0586;
Burundi [Africa];2004;Male;226.0;null;;370.0;22.4;901.2403;
Italy [Europe];2004;Female;88.0;null;277.0;72.0;0.2;290.1126;
Haiti [Americas];2004;Male;234.0;null;2;1289.0;16.7;836.0435;
Azerbaijan [Europe];2004;Male;128.0;null;;492.0;25.5;1045.313;
South Africa [Africa];2004;Male;141.0;null;;467.0;14.7;934.0982;
Czechia [Europe];2004;Male;309.0;null;2;716.0;2.3;739.535;
Netherlands [Europe];2004;Both sexes;90.0;null;195.0;499.0;1.2;424.6453;
Belize [Americas];2004;Female;139.0;null;92.0;165.0;0.0;477.2957;
Democratic People's Republic of Korea [South-East Asia];2004;Both sexes;210.0;null;79.0;336.0;14.1;640.4826;
Togo [Africa];2004;Both sexes;113.0;null;188.0;52.0;24.9;746.8979;
Chile [Americas];2004;Both sexes;104.0;null;87.0;543.0;2.5;439.4175;
Palau [Western Pacific];2004;Both sexes;110.0;null;138.0;2;2.8;;
Sierra Leone [Africa];2004;Both sexes;218.0;null;261.0;161.0;34.7;667.0498;
Marshall Islands [Western Pacific];2004;Both sexes;122.0;null;189.0;4;6.8;;
Liberia [Africa];2004;Both sexes;133.0;null;158.0;112.0;44.3;563.2081;
Malta [Europe];2004;Male;182.0;null;4;400.0;2.3;527.3565;
Malawi [Africa];2004;Both sexes;99.0;null;67.0;56.0;17.1;740.776;
Comoros [Africa];2004;Female;63.0;null;140.0;6;0.1;607.0278;
Malta [Europe];2004;Both sexes;144.0;null;161.0;252.0;1.9;430.2291;
Saint Vincent and the Grenadines [Americas];2004;Both sexes;201.0;null;199.0;572.0;11.7;640.9305;
Burkina Faso [Africa];2004;Male;178.0;null;;260.0;16.1;803.3687;
India [South-East Asia];2004;Both sexes;375.0;null;80.0;278.0;26.3;615.8517;
Bahrain [Eastern Mediterranean];2004;Both sexes;110.0;null;116.0;169.0;2.7;849.8815;
Bahamas [Americas];2004;Both sexes;129.0;null;219.0;702.0;1.9;563.099;
Lithuania [Europe];2004;Female;138.0;null;278.0;280.0;0.0;477.9044;
Angola [Africa];2004;Female;154.0;null;410.0;28.0;4.7;667.7593;
Namibia [Africa];2004;Both sexes;73.0;null;81.0;129.0;14.2;774.1565;
Greece [Europe];2004;Male;207.0;null;;578.0;2.9;521.9389;
Bulgaria [Europe];2004;Both sexes;199.0;null;128.0;368.0;4.0;742.0862;
Belize [Americas];2004;Male;363.0;null;4;966.0;19.7;569.2002;
Burundi [Africa];2004;Both sexes;148.0;null;105.0;200.0;21.8;825.1021;
Myanmar [South-East Asia];2004;Female;272.0;null;177.0;8;5.6;737.67;
Slovakia [Europe];2004;Female;95.0;null;247.0;129.0;0.1;493.1175;
Tonga [Western Pacific];2004;Female;71.0;null;244.0;8;0.0;501.5768;
Brunei Darussalam [Western Pacific];2004;Both sexes;110.0;null;102.0;100.0;4.6;694.11;
China [Western Pacific];2004;Both sexes;314.0;null;68.0;495.0;11.9;673.3764;
Tajikistan [Europe];2004;Both sexes;109.0;null;74.0;189.0;26.4;834.1482;
Paraguay [Americas];2004;Both sexes;120.0;null;126.0;428.0;8.8;440.9236;
Myanmar [South-East Asia];2004;Both sexes;267.0;null;92.0;122.0;27.8;823.9167;
Hungary [Europe];2004;Female;159.0;null;302.0;334.0;0.1;526.1861;
Czechia [Europe];2004;Female;161.0;null;263.0;104.0;0.1;452.7232;
Russian Federation [Europe];2004;Both sexes;473.0;null;176.0;1277.0;3.9;966.3377;
Kyrgyzstan [Europe];2004;Both sexes;316.0;null;104.0;217.0;21.5;829.5752;
Armenia [Europe];2004;Male;237.0;null;;299.0;14.4;828.2207;
Marshall Islands [Western Pacific];2004;Female;139.0;null;365.0;0;0.0;;
Switzerland [Europe];2004;Male;193.0;null;1;633.0;1.7;432.3494;
Nauru [Western Pacific];2004;Both sexes;187.0;null;155.0;248.0;;;
Antigua and Barbuda [Americas];2004;Both sexes;94.0;null;283.0;500.0;9.8;519.1674;
Austria [Europe];2004;Male;216.0;null;2;681.0;4.5;528.2993;
Madagascar [Africa];2004;Both sexes;104.0;null;86.0;60.0;26.1;750.8274;
Palau [Western Pacific];2004;Female;115.0;null;270.0;0;0.0;;
China [Western Pacific];2004;Male;379.0;null;;928.0;10.2;823.5555;
Canada [Americas];2004;Male;111.0;null;2;872.0;1.8;459.4023;
Tonga [Western Pacific];2004;Both sexes;62.0;null;128.0;134.0;2.0;684.8712;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Both sexes;97.0;null;182.0;663.0;3.5;429.4246;
Panama [Americas];2004;Male;159.0;null;;772.0;9.9;437.0951;
Viet Nam [Western Pacific];2004;Female;181.0;null;139.0;17.0;3.9;445.644;
Suriname [Americas];2004;Both sexes;168.0;null;110.0;439.0;14.9;625.4579;
Vanuatu [Western Pacific];2004;Female;82.0;null;263.0;8;0.0;829.2511;
Indonesia [South-East Asia];2004;Male;360.0;null;;274.0;12.0;742.8374;
Antigua and Barbuda [Americas];2004;Male;139.0;null;;880.0;11.3;585.883;
Thailand [South-East Asia];2004;Female;180.0;null;169.0;130.0;1.6;392.6934;
Republic of Moldova [Europe];2004;Male;378.0;null;7;1926.0;2.8;1153.494;
Spain [Europe];2004;Female;55.0;null;237.0;29.0;0.1;281.4862;
Sao Tome and Principe [Africa];2004;Male;191.0;null;2;312.0;;631.7794;
Saudi Arabia [Eastern Mediterranean];2004;Female;190.0;null;244.0;1;1.0;649.6883;
Ecuador [Americas];2004;Male;280.0;null;;1160.0;9.9;524.8441;
Belize [Americas];2004;Both sexes;252.0;null;47.0;571.0;17.8;521.975;
Trinidad and Tobago [Americas];2004;Female;71.0;null;396.0;104.0;0.0;568.0856;
Sudan [Eastern Mediterranean];2004;Male;269.0;null;;104.0;26.6;714.8471;
North Macedonia [Europe];2004;Male;271.0;null;10.0;515.0;12.8;1010.935;
Armenia [Europe];2004;Female;81.0;null;552.0;35.0;0.1;559.9531;
Equatorial Guinea [Africa];2004;Both sexes;158.0;null;113.0;73.0;32.7;668.6875;
Ecuador [Americas];2004;Both sexes;192.0;null;85.0;687.0;9.0;463.1761;
Benin [Africa];2004;Female;90.0;null;385.0;15.0;1.8;612.1598;
Bolivia (Plurinational State of) [Americas];2004;Female;129.0;null;341.0;193.0;1.0;584.0453;
Netherlands [Europe];2004;Male;107.0;null;2;855.0;1.6;529.1248;
Argentina [Americas];2004;Both sexes;82.0;null;169.0;550.0;8.0;518.0276;
Myanmar [South-East Asia];2004;Male;262.0;null;;240.0;31.8;941.2272;
Bosnia and Herzegovina [Europe];2004;Both sexes;135.0;null;124.0;456.0;2.6;618.7427;
Belgium [Europe];2004;Both sexes;148.0;null;200.0;265.0;1.2;408.4439;
Cabo Verde [Africa];2004;Male;90.0;null;;214.0;8.2;600.8325;
Tunisia [Eastern Mediterranean];2004;Female;129.0;null;122.0;3;0.3;447.2053;
New Zealand [Western Pacific];2004;Female;109.0;null;387.0;205.0;0.0;352.1528;
San Marino [Europe];2004;Male;98.0;null;;535.0;;;
Guinea [Africa];2004;Both sexes;140.0;null;102.0;24.0;24.5;639.8863;
Guatemala [Americas];2004;Male;227.0;null;;1194.0;10.0;616.5108;
Croatia [Europe];2004;Both sexes;194.0;null;165.0;523.0;2.1;577.1274;
Sweden [Europe];2004;Male;143.0;null;2;1115.0;1.1;456.0201;
Nigeria [Africa];2004;Male;181.0;null;;265.0;25.1;678.013;
Jordan [Eastern Mediterranean];2004;Female;110.0;null;393.0;1;0.4;689.1752;
Slovakia [Europe];2004;Male;455.0;null;3;1316.0;4.7;841.1032;
Bahrain [Eastern Mediterranean];2004;Male;124.0;null;;284.0;2.8;900.5916;
Namibia [Africa];2004;Female;47.0;null;145.0;26.0;0.2;618.6569;
Slovenia [Europe];2004;Both sexes;215.0;null;157.0;398.0;2.1;476.1814;
Chile [Americas];2004;Male;159.0;null;;918.0;3.0;547.7591;
United States of America [Americas];2004;Both sexes;114.0;null;171.0;600.0;3.1;446.4185;
Latvia [Europe];2004;Female;180.0;null;304.0;251.0;0.0;545.2987;
Nicaragua [Americas];2004;Both sexes;130.0;null;112.0;538.0;9.9;559.6349;
Central African Republic [Africa];2004;Male;195.0;null;;145.0;26.0;1183.583;
Niue [Western Pacific];2004;Both sexes;122.0;null;85.0;721.0;2.4;;
Mauritius [Africa];2004;Male;101.0;null;1;272.0;6.4;896.5522;
Democratic People's Republic of Korea [South-East Asia];2004;Female;193.0;null;153.0;21.0;1.3;569.0336;
Benin [Africa];2004;Both sexes;110.0;null;204.0;57.0;22.3;702.1298;
India [South-East Asia];2004;Female;315.0;null;162.0;55.0;193.4;533.002;
