Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Neonatal mortality rate (deaths per 1000 live births);Age-standardized DALYs diabetes mellitus per 100000;Prevalence of obesity among adults (%);Total NCD Deaths (in thousands);Estimates of rates of homicides per 100 000 population;
Gambia [Africa];2004;Female;89.0;null;;601.0;7;1707.103;2.0672;
Germany [Europe];2004;Both sexes;103.0;null;;213.0;;745287.6;1.06164;
Democratic People's Republic of Korea [South-East Asia];2004;Female;193.0;null;;416.0;6;69488.66;3.52743;
Morocco [Eastern Mediterranean];2004;Male;233.0;null;;201.0;11;58249.21;2.85895;
Switzerland [Europe];2004;Male;193.0;null;;182.0;18;25353.14;1.17574;
Nauru [Western Pacific];2004;Both sexes;187.0;null;;1838.0;;;;
Pakistan [Eastern Mediterranean];2004;Both sexes;283.0;null;;369.0;;722639.2;7.14743;
Portugal [Europe];2004;Both sexes;154.0;null;;324.0;;90364.75;1.66;
Oman [Eastern Mediterranean];2004;Female;78.0;null;;746.0;22;3207.282;0.47966;
Togo [Africa];2004;Male;139.0;null;;458.0;2;9678.761;16.90405;
Zambia [Africa];2004;Male;155.0;null;;409.0;2;18816.38;11.79545;
Romania [Europe];2004;Both sexes;300.0;null;;258.0;;242507.1;3.27418;
Dominica [Americas];2004;Male;124.0;null;;523.0;13;;;
Switzerland [Europe];2004;Both sexes;139.0;null;;181.0;;53208.62;1.00664;
Malta [Europe];2004;Female;102.0;null;;379.0;28;1394.56;0.90903;
Burundi [Africa];2004;Male;226.0;null;;468.0;1;10844.26;8.12235;
Sierra Leone [Africa];2004;Female;125.0;null;;784.0;7;8705.063;3.34428;
Mongolia [Western Pacific];2004;Male;547.0;null;;95.0;9;8773.544;26.45033;
New Zealand [Western Pacific];2004;Male;230.0;null;;208.0;24;12882.75;1.82846;
Dominica [Americas];2004;Both sexes;72.0;null;;629.0;;;;
Albania [Europe];2004;Male;417.0;null;;185.0;14;8873.849;8.51674;
Venezuela (Bolivarian Republic of) [Americas];2004;Both sexes;156.0;null;;529.0;;75020.77;48.48975;
Burkina Faso [Africa];2004;Female;110.0;null;;661.0;3;18541.25;5.42339;
Thailand [South-East Asia];2004;Both sexes;193.0;null;;535.0;;266064.9;8.64501;
Canada [Americas];2004;Male;111.0;null;;348.0;24;100745.5;3.12387;
Belize [Americas];2004;Male;363.0;null;;581.0;10;369.6176;48.18045;
Algeria [Africa];2004;Female;72.0;null;;418.0;24;51275.57;0.87292;
Belgium [Europe];2004;Male;196.0;null;;168.0;19;44295.13;2.43156;
Russian Federation [Europe];2004;Male;740.0;null;;166.0;14;960876.0;44.43346;
Gabon [Africa];2004;Both sexes;124.0;null;;414.0;;5543.36;10.1123;
Argentina [Americas];2004;Both sexes;82.0;null;;467.0;;235640.2;6.45984;
Cuba [Americas];2004;Female;125.0;null;;748.0;26;31143.96;2.694;
Tajikistan [Europe];2004;Female;70.0;null;;302.0;9;12195.69;1.23554;
Malawi [Africa];2004;Male;129.0;null;41.68439;365.0;1;21187.53;7.00945;
Nigeria [Africa];2004;Both sexes;143.0;null;;609.0;;361175.6;12.47702;
Niger [Africa];2004;Male;207.0;null;;520.0;1;17153.32;18.38611;
Colombia [Americas];2004;Female;67.0;null;;406.0;20;62659.42;11.6845;
Zambia [Africa];2004;Female;81.0;null;;550.0;6;17844.89;4.08829;
Croatia [Europe];2004;Male;261.0;null;;185.0;19;22308.73;2.24037;
Turkmenistan [Europe];2004;Female;101.0;null;;290.0;13;12777.82;2.08708;
Philippines [Western Pacific];2004;Female;87.0;null;;568.0;4;119748.1;3.91134;
Republic of Korea [Western Pacific];2004;Both sexes;295.0;null;;465.0;;201143.5;1.94063;
Kiribati [Western Pacific];2004;Male;34.0;null;;1571.0;32;366.431;9.4134;
Hungary [Europe];2004;Female;159.0;null;;254.0;23;59914.15;1.54421;
Eritrea [Africa];2004;Both sexes;84.0;null;;411.0;;11094.92;13.0961;
Lao People's Democratic Republic [Western Pacific];2004;Both sexes;435.0;null;;259.0;;21836.36;8.13281;
Morocco [Eastern Mediterranean];2004;Both sexes;219.0;null;;198.0;;128428.6;1.83682;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Male;122.0;null;;163.0;;251005.7;2.68449;
Finland [Europe];2004;Both sexes;266.0;null;;190.0;;42571.0;2.56282;
Benin [Africa];2004;Both sexes;110.0;null;;557.0;;26203.57;7.17018;
Rwanda [Africa];2004;Both sexes;137.0;null;;515.0;;31263.09;5.99191;
United Republic of Tanzania [Africa];2004;Both sexes;119.0;null;;505.0;;80993.78;8.98908;
Timor-Leste [South-East Asia];2004;Female;172.0;null;;410.0;2;1383.759;1.7563;
Mauritania [Africa];2004;Both sexes;117.0;null;;503.0;;6571.923;13.93485;
Denmark [Europe];2004;Female;98.0;null;;214.0;16;25680.2;0.37533;
Botswana [Africa];2004;Female;78.0;null;;454.0;20;3778.802;3.1378;
Brunei Darussalam [Western Pacific];2004;Female;77.0;null;;716.0;10;472.6328;0.55932;
Bulgaria [Europe];2004;Male;328.0;null;;356.0;20;55408.79;4.46496;
Guinea [Africa];2004;Male;172.0;null;;416.0;2;11877.17;17.35633;
Argentina [Americas];2004;Male;111.0;null;;417.0;21;122274.6;11.15474;
Argentina [Americas];2004;Female;52.0;null;;513.0;24;113365.6;2.02567;
Netherlands [Europe];2004;Both sexes;90.0;null;;195.0;;123210.0;1.24151;
Croatia [Europe];2004;Both sexes;194.0;null;;172.0;;44758.89;1.87845;
Gabon [Africa];2004;Male;149.0;null;;372.0;5;2783.321;16.62702;
Dominican Republic [Americas];2004;Male;231.0;null;;650.0;11;13776.17;43.93032;
Haiti [Americas];2004;Male;234.0;null;;545.0;8;19394.8;33.97253;
Togo [Africa];2004;Both sexes;113.0;null;;536.0;;17645.21;11.06661;
Japan [Western Pacific];2004;Both sexes;107.0;null;;172.0;;824914.6;0.55151;
Nauru [Western Pacific];2004;Male;137.0;null;;1756.0;52;;;
Philippines [Western Pacific];2004;Both sexes;114.0;null;;555.0;;275781.3;20.05069;
Angola [Africa];2004;Female;154.0;null;;771.0;6;27122.64;4.61475;
C\u00f4te d'Ivoire [Africa];2004;Male;298.0;null;;588.0;;36463.99;18.15676;
Cabo Verde [Africa];2004;Female;69.0;null;;635.0;9;601.6923;3.93467;
Barbados [Americas];2004;Female;31.0;null;;654.0;25;1256.646;6.47899;
Latvia [Europe];2004;Female;180.0;null;;250.0;25;15457.46;6.10148;
Republic of Moldova [Europe];2004;Male;378.0;null;;218.0;12;20735.15;13.45523;
Senegal [Africa];2004;Female;93.0;null;;607.0;7;15511.27;4.58911;
Cabo Verde [Africa];2004;Male;90.0;null;;454.0;3;683.377;14.69193;
Paraguay [Americas];2004;Male;139.0;null;;544.0;10;8354.827;38.81015;
Dominican Republic [Americas];2004;Both sexes;184.0;null;;667.0;;25416.57;25.88822;
Republic of Moldova [Europe];2004;Both sexes;251.0;null;;227.0;;42430.96;9.28028;
Sudan [Eastern Mediterranean];2004;Male;269.0;null;;412.0;;45665.78;11.44173;
South Africa [Africa];2004;Both sexes;104.0;null;;839.0;;228347.8;47.70211;
Grenada [Americas];2004;Male;195.0;null;;633.0;8;443.2623;5.32114;
Andorra [Europe];2004;Male;150.0;null;;253.0;23;;;
Somalia [Eastern Mediterranean];2004;Male;404.0;null;;517.0;2;20893.9;9.91596;
Peru [Americas];2004;Both sexes;136.0;null;;384.0;;64908.02;7.1781;
Ghana [Africa];2004;Male;108.0;null;;276.0;2;31846.28;8.19144;
Mauritius [Africa];2004;Both sexes;62.0;null;;1104.0;;7332.411;3.1371;
Mexico [Americas];2004;Female;81.0;null;;1128.0;25;172554.2;2.40136;
Morocco [Eastern Mediterranean];2004;Female;207.0;null;;195.0;22;70179.38;0.8377;
Cameroon [Africa];2004;Both sexes;127.0;null;;490.0;;59273.98;10.06308;
Nigeria [Africa];2004;Female;107.0;null;;692.0;7;172153.7;6.52404;
Ghana [Africa];2004;Female;98.0;null;;343.0;9;28122.96;5.00655;
C\u00f4te d'Ivoire [Africa];2004;Female;124.0;null;;686.0;;21297.41;9.57677;
Lao People's Democratic Republic [Western Pacific];2004;Male;432.0;null;;250.0;1;11186.32;11.66267;
Australia [Western Pacific];2004;Female;107.0;null;;171.0;24;56980.61;0.94004;
Luxembourg [Europe];2004;Both sexes;183.0;null;;162.0;;3325.135;0.82451;
Jordan [Eastern Mediterranean];2004;Both sexes;162.0;null;;454.0;;14308.84;3.38408;
Kyrgyzstan [Europe];2004;Female;122.0;null;;266.0;11;13208.97;3.03453;
Republic of Moldova [Europe];2004;Female;130.0;null;;232.0;19;21695.8;5.44563;
United Republic of Tanzania [Africa];2004;Female;76.0;null;28.63689;585.0;6;40748.76;3.53855;
Timor-Leste [South-East Asia];2004;Both sexes;241.0;null;;418.0;;2674.992;4.23979;
Qatar [Eastern Mediterranean];2004;Male;124.0;null;;739.0;25;922.0969;1.15683;
Nepal [South-East Asia];2004;Female;252.0;null;;377.0;2;34869.06;1.95224;
Kenya [Africa];2004;Female;75.0;null;;467.0;5;33811.76;1.45421;
Marshall Islands [Western Pacific];2004;Female;139.0;null;;832.0;50;;;
Kazakhstan [Europe];2004;Female;174.0;null;;205.0;17;63562.3;5.85082;
Central African Republic [Africa];2004;Male;195.0;null;;425.0;2;9660.845;39.09703;
Syrian Arab Republic [Eastern Mediterranean];2004;Female;101.0;null;;536.0;23;25076.04;1.35491;
Brazil [Americas];2004;Male;239.0;null;;441.0;12;403739.6;59.03365;
Comoros [Africa];2004;Female;63.0;null;;675.0;6;846.9219;5.08394;
Yemen [Eastern Mediterranean];2004;Male;611.0;null;;242.0;5;31480.94;6.56887;
Malawi [Africa];2004;Both sexes;99.0;null;;443.0;;39843.12;4.16242;
Netherlands [Europe];2004;Male;107.0;null;;203.0;15;59878.93;1.62657;
Haiti [Americas];2004;Female;327.0;null;;829.0;15;26443.69;7.36592;
Saint Vincent and the Grenadines [Americas];2004;Male;327.0;null;;1035.0;10;297.3423;32.20159;
Costa Rica [Americas];2004;Female;66.0;null;;398.0;21;6096.662;1.91904;
Sao Tome and Principe [Africa];2004;Male;191.0;null;;346.0;3;189.0183;8.90441;
Cook Islands [Western Pacific];2004;Male;106.0;null;;578.0;42;;;
C\u00f4te d'Ivoire [Africa];2004;Both sexes;213.0;null;;636.0;;57761.39;13.96807;
Togo [Africa];2004;Female;88.0;null;;601.0;6;7966.446;5.35374;
Bangladesh [South-East Asia];2004;Both sexes;317.0;null;;330.0;;428929.7;3.12948;
Bahamas [Americas];2004;Both sexes;129.0;null;;690.0;;1370.106;16.24214;
Nicaragua [Americas];2004;Male;195.0;null;;583.0;11;8168.375;24.58224;
Congo [Africa];2004;Female;70.0;null;;445.0;8;6327.481;4.90669;
Sri Lanka [South-East Asia];2004;Male;525.0;null;;478.0;1;54697.93;13.73075;
Tunisia [Eastern Mediterranean];2004;Female;129.0;null;;237.0;26;18955.09;1.15161;
Libya [Eastern Mediterranean];2004;Male;218.0;null;;215.0;16;7677.672;5.59072;
Djibouti [Eastern Mediterranean];2004;Female;86.0;null;;283.0;12;1063.145;3.96417;
Norway [Europe];2004;Both sexes;157.0;null;;175.0;;37317.73;0.88787;
Ireland [Europe];2004;Female;74.0;null;;144.0;19;11843.43;0.49138;
Eswatini [Africa];2004;Both sexes;119.0;null;;447.0;;5860.076;21.97267;
Jamaica [Americas];2004;Both sexes;103.0;null;;444.0;;11396.96;29.34695;
Czechia [Europe];2004;Both sexes;236.0;null;;194.0;;97833.38;1.30924;
Israel [Europe];2004;Female;48.0;null;;325.0;24;16249.23;2.00175;
Mexico [Americas];2004;Both sexes;139.0;null;;1004.0;;360323.3;9.39345;
Fiji [Western Pacific];2004;Male;80.0;null;;786.0;17;2560.031;4.16843;
Canada [Americas];2004;Female;58.0;null;;336.0;25;101236.3;0.80552;
Malaysia [Western Pacific];2004;Female;92.0;null;;669.0;11;36574.09;1.3455;
Marshall Islands [Western Pacific];2004;Male;106.0;null;;964.0;39;;;
Zimbabwe [Africa];2004;Both sexes;141.0;null;;506.0;;33514.11;14.89678;
Uzbekistan [Europe];2004;Female;87.0;null;;386.0;11;69230.61;1.49893;
Thailand [South-East Asia];2004;Female;180.0;null;;624.0;7;126460.1;3.01814;
Angola [Africa];2004;Both sexes;255.0;null;;695.0;;59261.92;12.28934;
Cabo Verde [Africa];2004;Both sexes;79.0;null;;565.0;;1285.069;9.14819;
Tajikistan [Europe];2004;Male;149.0;null;;260.0;6;12846.13;4.27806;
Sweden [Europe];2004;Male;143.0;null;;204.0;18;39890.59;1.54195;
Tonga [Western Pacific];2004;Both sexes;62.0;null;;634.0;;462.9243;4.2303;
Samoa [Western Pacific];2004;Both sexes;76.0;null;;649.0;;858.7538;5.29906;
Benin [Africa];2004;Male;130.0;null;;451.0;2;13415.45;11.23018;
El Salvador [Americas];2004;Female;86.0;null;;440.0;21;8649.741;44.08855;
Lesotho [Africa];2004;Both sexes;66.0;null;;371.0;;10384.84;45.93602;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Female;255.0;null;;479.0;22;86748.34;1.5738;
Bhutan [South-East Asia];2004;Both sexes;328.0;null;;276.0;;2096.344;2.33607;
Sudan [Eastern Mediterranean];2004;Female;141.0;null;;496.0;;43558.95;3.79059;
Singapore [Western Pacific];2004;Male;109.0;null;;559.0;4;7078.711;1.18428;
Guinea [Africa];2004;Both sexes;140.0;null;;501.0;;25965.16;11.05544;
Austria [Europe];2004;Male;216.0;null;;284.0;17;31416.04;0.8403;
North Macedonia [Europe];2004;Both sexes;163.0;null;;289.0;;20535.79;3.28375;
Latvia [Europe];2004;Both sexes;337.0;null;;239.0;;28871.92;10.65566;
Finland [Europe];2004;Male;384.0;null;;192.0;20;20758.25;3.14752;
Spain [Europe];2004;Female;55.0;null;;230.0;23;164542.2;0.705;
Sweden [Europe];2004;Both sexes;107.0;null;;204.0;;83043.26;1.21709;
Azerbaijan [Europe];2004;Female;45.0;null;;576.0;16;26408.88;1.0221;
Tunisia [Eastern Mediterranean];2004;Male;224.0;null;;179.0;12;23268.23;3.97687;
Egypt [Eastern Mediterranean];2004;Male;218.0;null;;403.0;14;192512.3;4.91297;
Algeria [Africa];2004;Male;76.0;null;;322.0;11;51685.16;2.68423;
Guinea-Bissau [Africa];2004;Female;96.0;null;;684.0;7;2088.064;6.95243;
Norway [Europe];2004;Male;202.0;null;;178.0;18;18029.58;1.034;
Suriname [Americas];2004;Both sexes;168.0;null;;592.0;;2217.804;12.91966;
United Arab Emirates [Eastern Mediterranean];2004;Female;95.0;null;;1054.0;30;1658.99;0.41218;
Latvia [Europe];2004;Male;502.0;null;;227.0;17;13414.46;16.03045;
Brazil [Americas];2004;Female;85.0;null;;566.0;19;344013.0;5.67187;
Italy [Europe];2004;Female;88.0;null;;254.0;20;258707.6;0.69117;
France [Europe];2004;Male;203.0;null;;186.0;18;226986.1;1.52229;
Botswana [Africa];2004;Both sexes;103.0;null;;405.0;;8140.353;17.58832;
Antigua and Barbuda [Americas];2004;Both sexes;94.0;null;;869.0;;376.3131;5.53314;
Niue [Western Pacific];2004;Female;139.0;null;;570.0;45;;;
Seychelles [Africa];2004;Female;36.0;null;;724.0;14;231.1263;5.5165;
Bahrain [Eastern Mediterranean];2004;Both sexes;110.0;null;;868.0;;2295.817;0.962;
United States of America [Americas];2004;Female;71.0;null;;375.0;31;1091758.0;2.72142;
San Marino [Europe];2004;Both sexes;61.0;null;;208.0;;;;
Democratic People's Republic of Korea [South-East Asia];2004;Male;175.0;null;;359.0;4;51224.15;5.29022;
Nepal [South-East Asia];2004;Male;311.0;null;;347.0;1;30511.53;5.78122;
Romania [Europe];2004;Female;115.0;null;;252.0;19;117816.3;1.97418;
Malta [Europe];2004;Both sexes;144.0;null;;368.0;;2837.058;1.26497;
Namibia [Africa];2004;Male;101.0;null;;317.0;3;3686.097;33.84068;
Saudi Arabia [Eastern Mediterranean];2004;Both sexes;345.0;null;;717.0;;68005.52;1.79401;
Romania [Europe];2004;Male;485.0;null;;263.0;17;124690.8;4.63933;
Bangladesh [South-East Asia];2004;Male;323.0;null;52.25389;320.0;1;251815.0;4.18118;
Azerbaijan [Europe];2004;Both sexes;86.0;null;;519.0;;53154.61;2.68342;
Russian Federation [Europe];2004;Female;216.0;null;;230.0;28;992139.9;12.26741;
Italy [Europe];2004;Male;170.0;null;;297.0;17;253529.8;1.82339;
Honduras [Americas];2004;Male;148.0;null;;574.0;9;9166.054;74.81927;
Finland [Europe];2004;Female;146.0;null;;187.0;20;21812.76;2.00286;
Spain [Europe];2004;Both sexes;109.0;null;;243.0;;340621.6;1.21709;
Panama [Americas];2004;Female;68.0;null;;463.0;20;4625.528;3.36756;
Papua New Guinea [Western Pacific];2004;Male;261.0;null;;504.0;10;12725.2;14.97168;
Kuwait [Eastern Mediterranean];2004;Male;136.0;null;;591.0;26;1961.434;3.7056;
Mongolia [Western Pacific];2004;Female;135.0;null;;113.0;14;6641.508;4.79592;
Iceland [Europe];2004;Female;92.0;null;;95.0;18;808.5468;0.61911;
Australia [Western Pacific];2004;Male;240.0;null;;232.0;23;59289.0;1.61719;
Kenya [Africa];2004;Both sexes;110.0;null;;399.0;;70664.68;4.63418;
Gambia [Africa];2004;Male;132.0;null;;467.0;2;2221.93;17.41427;
Afghanistan [Eastern Mediterranean];2004;Male;545.0;null;;412.0;1;47583.46;16.27195;
Poland [Europe];2004;Male;425.0;null;;262.0;18;169924.5;2.35123;
Chad [Africa];2004;Male;191.0;null;56.50208;507.0;1;14887.95;17.8562;
Ireland [Europe];2004;Male;164.0;null;;150.0;18;12284.66;1.52126;
Bangladesh [South-East Asia];2004;Female;310.0;null;39.91056;340.0;2;177114.6;2.02258;
Georgia [Europe];2004;Both sexes;90.0;null;;227.0;;53402.52;8.55465;
Costa Rica [Americas];2004;Male;179.0;null;;332.0;12;7094.316;11.37933;
Saint Kitts and Nevis [Americas];2004;Both sexes;164.0;null;;506.0;;;;
Iraq [Eastern Mediterranean];2004;Female;622.0;null;;398.0;27;39210.55;12.311;
Myanmar [South-East Asia];2004;Male;262.0;null;;346.0;2;119432.7;6.55216;
France [Europe];2004;Both sexes;160.0;null;;184.0;;444793.2;1.20556;
Liberia [Africa];2004;Both sexes;133.0;null;;599.0;;8287.396;13.72001;
Eswatini [Africa];2004;Male;144.0;null;;345.0;3;2959.864;36.98054;
Bahrain [Eastern Mediterranean];2004;Female;89.0;null;;898.0;29;995.5881;0.88762;
Cambodia [Western Pacific];2004;Female;175.0;null;;556.0;2;22251.71;1.71528;
Solomon Islands [Western Pacific];2004;Male;78.0;null;;606.0;10;1024.208;8.24417;
Tuvalu [Western Pacific];2004;Female;144.0;null;;805.0;47;;;
Iceland [Europe];2004;Both sexes;134.0;null;;96.0;;1641.522;0.82115;
Israel [Europe];2004;Male;109.0;null;;382.0;20;15904.18;5.52677;
Denmark [Europe];2004;Both sexes;134.0;null;;226.0;;50624.5;0.70057;
Mali [Africa];2004;Male;189.0;null;;505.0;2;16755.06;20.56047;
Iceland [Europe];2004;Male;175.0;null;;97.0;19;832.9749;1.02239;
Mauritania [Africa];2004;Male;142.0;null;;437.0;3;2657.925;21.2889;
North Macedonia [Europe];2004;Male;271.0;null;;284.0;18;10659.64;4.99251;
Uruguay [Americas];2004;Female;52.0;null;;535.0;27;13521.77;2.40379;
Lao People's Democratic Republic [Western Pacific];2004;Female;439.0;null;;268.0;3;10650.04;4.67006;
San Marino [Europe];2004;Female;24.0;null;;201.0;;;;
Luxembourg [Europe];2004;Female;116.0;null;;169.0;19;1736.132;0.68618;
Uruguay [Americas];2004;Both sexes;88.0;null;;458.0;;27703.32;5.84379;
Saint Lucia [Americas];2004;Both sexes;85.0;null;;915.0;;858.4595;22.89459;
Norway [Europe];2004;Female;111.0;null;;173.0;20;19288.15;0.74418;
Russian Federation [Europe];2004;Both sexes;473.0;null;;204.0;;1953016.0;27.25029;
Cameroon [Africa];2004;Female;100.0;null;29.58701;564.0;9;27967.69;3.85799;
Bahamas [Americas];2004;Female;108.0;null;;769.0;33;675.2412;4.0573;
Lithuania [Europe];2004;Both sexes;337.0;null;;218.0;;35451.08;9.90924;
Mozambique [Africa];2004;Female;78.0;null;;528.0;6;30869.16;2.33071;
Lithuania [Europe];2004;Female;138.0;null;;207.0;28;18224.53;4.86581;
Congo [Africa];2004;Both sexes;99.0;null;;391.0;;11470.6;11.93779;
Bulgaria [Europe];2004;Female;68.0;null;;342.0;23;49719.8;1.57421;
Suriname [Americas];2004;Female;127.0;null;;536.0;27;1003.513;4.89191;
Cuba [Americas];2004;Both sexes;150.0;null;;599.0;;66533.09;6.05322;
Democratic Republic of the Congo [Africa];2004;Both sexes;222.0;null;;543.0;;168068.2;14.29946;
Marshall Islands [Western Pacific];2004;Both sexes;122.0;null;;899.0;;;;
Papua New Guinea [Western Pacific];2004;Both sexes;253.0;null;;498.0;;23468.36;9.84773;
Belarus [Europe];2004;Female;187.0;null;;340.0;25;61573.04;6.51381;
Czechia [Europe];2004;Female;161.0;null;;176.0;25;49492.93;0.87523;
