Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Neonatal mortality rate (deaths per 1000 live births);Age-standardized DALYs diabetes mellitus per 100000;Prevalence of obesity among adults (%);Total NCD Deaths (in thousands);Estimates of rates of homicides per 100 000 population;
Cook Islands [Western Pacific];2004;Both sexes;114.0;null;;568.0;;;;
Brunei Darussalam [Western Pacific];2004;Both sexes;110.0;null;;698.0;;1030.223;0.85697;
Portugal [Europe];2004;Female;79.0;null;;309.0;18;44453.18;0.77992;
Maldives [South-East Asia];2004;Male;397.0;null;;478.0;2;530.4994;3.6683;
Ukraine [Europe];2004;Both sexes;326.0;null;;192.0;;676530.8;8.64066;
Philippines [Western Pacific];2004;Male;141.0;null;;538.0;3;156033.3;36.0261;
Egypt [Eastern Mediterranean];2004;Female;130.0;null;;422.0;31;163881.1;1.70076;
Suriname [Americas];2004;Male;207.0;null;;650.0;13;1214.291;20.80449;
Trinidad and Tobago [Americas];2004;Female;71.0;null;;1432.0;18;3705.857;7.10071;
Namibia [Africa];2004;Female;47.0;null;;326.0;15;3235.131;10.06904;
Tonga [Western Pacific];2004;Male;54.0;null;;562.0;29;276.4023;5.68356;
Bosnia and Herzegovina [Europe];2004;Female;52.0;null;;205.0;17;16101.64;1.15081;
Paraguay [Americas];2004;Female;100.0;null;;738.0;15;7446.438;5.005;
Cyprus [Europe];2004;Both sexes;67.0;null;;528.0;;5729.709;1.49844;
Comoros [Africa];2004;Both sexes;74.0;null;;580.0;;1651.708;9.94573;
Oman [Eastern Mediterranean];2004;Male;232.0;null;;673.0;14;4429.935;0.99875;
Syrian Arab Republic [Eastern Mediterranean];2004;Both sexes;125.0;null;;470.0;;51156.46;2.70042;
Estonia [Europe];2004;Both sexes;287.0;null;;280.0;;15811.3;8.62571;
Zimbabwe [Africa];2004;Male;197.0;null;;428.0;2;14273.7;24.77203;
Sweden [Europe];2004;Female;69.0;null;;203.0;17;43152.67;0.89799;
Rwanda [Africa];2004;Male;191.0;null;;424.0;1;16432.35;9.08053;
Gambia [Africa];2004;Both sexes;110.0;null;;537.0;;3929.032;9.69415;
Ecuador [Americas];2004;Both sexes;192.0;null;;580.0;;45407.79;21.80566;
Jordan [Eastern Mediterranean];2004;Female;110.0;null;;499.0;32;8006.465;1.86619;
United Arab Emirates [Eastern Mediterranean];2004;Male;142.0;null;;1023.0;19;4511.553;1.76582;
Kuwait [Eastern Mediterranean];2004;Female;92.0;null;;711.0;38;1077.452;0.88254;
Greece [Europe];2004;Female;62.0;null;;268.0;24;46653.89;0.54965;
Tunisia [Eastern Mediterranean];2004;Both sexes;177.0;null;;209.0;;42223.32;2.56719;
Antigua and Barbuda [Americas];2004;Female;50.0;null;;924.0;19;183.3399;2.51438;
Nicaragua [Americas];2004;Female;66.0;null;;847.0;19;8039.994;3.64524;
Portugal [Europe];2004;Male;229.0;null;;339.0;15;45911.57;2.59982;
Nepal [South-East Asia];2004;Both sexes;280.0;null;;364.0;;65380.59;3.85398;
Ethiopia [Africa];2004;Female;66.0;null;;578.0;3;105784.2;4.8629;
Saint Vincent and the Grenadines [Americas];2004;Female;73.0;null;;1539.0;22;298.0312;7.74022;
United Arab Emirates [Eastern Mediterranean];2004;Both sexes;129.0;null;;1024.0;;6170.542;1.34883;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Male;344.0;null;;264.0;11;118376.2;7.03855;
Guatemala [Americas];2004;Male;227.0;null;;499.0;8;20087.67;65.24682;
Mali [Africa];2004;Female;103.0;null;;706.0;6;20051.01;6.46012;
Zambia [Africa];2004;Both sexes;117.0;null;;487.0;;36661.28;7.90019;
Ethiopia [Africa];2004;Both sexes;100.0;null;;496.0;;219018.3;9.88177;
Vanuatu [Western Pacific];2004;Male;78.0;null;;686.0;12;615.8538;4.29729;
Mauritius [Africa];2004;Female;23.0;null;;1125.0;11;3313.117;1.38748;
Trinidad and Tobago [Americas];2004;Male;183.0;null;;1436.0;6;4338.932;46.87683;
Antigua and Barbuda [Americas];2004;Male;139.0;null;;810.0;8;192.9732;8.89571;
Japan [Western Pacific];2004;Male;145.0;null;;198.0;2;440097.5;0.65987;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Female;72.0;null;;173.0;;273062.6;1.42944;
Kyrgyzstan [Europe];2004;Both sexes;316.0;null;;261.0;;27537.1;8.51049;
Kiribati [Western Pacific];2004;Both sexes;35.0;null;;1429.0;;680.9108;6.2101;
Colombia [Americas];2004;Both sexes;155.0;null;;389.0;;123135.8;70.4524;
Azerbaijan [Europe];2004;Male;128.0;null;;450.0;10;26745.73;4.39931;
Somalia [Eastern Mediterranean];2004;Both sexes;417.0;null;;575.0;;35701.45;6.39318;
Lesotho [Africa];2004;Female;50.0;null;41.33965;394.0;17;5337.346;18.22302;
United Republic of Tanzania [Africa];2004;Male;164.0;null;38.84148;410.0;2;40245.02;14.4925;
Monaco [Europe];2004;Male;165.0;null;;240.0;;;;
Dominica [Americas];2004;Female;21.0;null;;724.0;28;;;
Albania [Europe];2004;Both sexes;259.0;null;;177.0;;16014.67;5.44638;
Saudi Arabia [Eastern Mediterranean];2004;Female;190.0;null;;748.0;32;30721.92;1.8398;
Slovenia [Europe];2004;Female;111.0;null;;199.0;19;8053.651;0.86953;
Belarus [Europe];2004;Male;672.0;null;;240.0;17;60808.91;13.66505;
Thailand [South-East Asia];2004;Male;207.0;null;;431.0;3;139604.8;14.45018;
Poland [Europe];2004;Both sexes;273.0;null;;251.0;;326846.6;1.68608;
Benin [Africa];2004;Female;90.0;null;;643.0;8;12788.12;3.18906;
